contract_number,county,project_description,project_length,project_length_unit
CNQ323,"DAVIDSON, MONTGOMERY, ROBERTSON, SUMNER, WILLIAMSON, AND WILSON",THE SWEEPING AND DRAIN CLEANING ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNQ004,DYER,"MISCELLANEOUS SAFETY IMPROVEMENTS ON S.R. 104 FROM S.R. 181 TO S.R. 182, AND AT THE INTERSECTION OF PARR AVENUE AND EAST PARKVIEW STREET.",7.73,MILES
CNQ321,"FAYETTE, HARDEMAN, AND HAYWOOD","THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS STATE ROUTES AND LOCAL ROADS IN FAYETTE, HARDEMAN AND HAYWOOD COUNTIES.",0,MILES
CNQ279,GILES AND LINCOLN,MISCELLANEOUS SAFETY IMPROVEMENTS ON U.S. 431/U.S. 231 (S.R. 10) FROM THE ALABAMA STATE LINE TO U.S. 64 (S.R. 15) AND ON VARIOUS LOCAL ROADS.,10.67,MILES
CNQ293,GRUNDY AND SEQUATCHIE,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON S.R. 56 AND S.R. 8 IN SEQUATCHIE AND GRUNDY COUNTIES.,15.42,MILES
CNQ319,HAMILTON,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON S.R. 58 FROM HARRISON BAY ROAD (L.M. 12.86) TO S.R. 60 (L.M. 26.19).,13.33,MILES
CNQ189,HAMILTON,THE RESURFACING ON U.S. 27 (S.R. 29) FROM NORTH OF SIGNAL MOUNTAIN ROAD (L.M. 3.02) TO NORTH OF S.R. 29 M.M. 6.0 (L.M. 6.07).,3.045,MILES
CNQ274,HARDEMAN AND HAYWOOD,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS STATE ROUTES AND LOCAL ROADS.,23.09,MILES
CNQ315,HUMPHREYS,THE REPAIR OF THE BRIDGE ON U.S. 70 (S.R. 1) OVER TRACE CREEK (L.M. 10.49) IN WAVERLY.,0.087,MILES
CNQ310,KNOX,"THE CONSTRUCTION OF A CONCRETE BOX BRIDGE ON S.R. 131 OVER KERNS BRANCH (L.M. 23.86) IN HARBISON CROSSROADS INCLUDING GRADING, DRAINAGE AND PAVING.",0.178,MILES
CNQ297,KNOX,"THE GRADING, DRAINAGE, CONSTRUCTION OF TWO (2) STEEL BRIDGES AND ELEVEN (11) RETAINING WALLS ON S.R. 62 (WESTERN AVE) FROM TEXAS AVENUE (L.M. 13.9) TO MAJOR AVENUE (L.M. 14.8).",0.834,MILES
CNQ313,KNOX AND LOUDON,"THE GRADING, DRAINAGE AND PAVING AT THE INTERSECTION OF U.S. 70 (S.R. 1) AND U.S. 11 (S.R. 2) (L.M. 7.12), INCLUDING RETAINING WALLS AND SIGNALS.",0.327,MILES
CNQ273,LEWIS AND WAYNE,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON S.R. 99 IN LEWIS COUNTY FROM ALLEN CREEK ROAD TO S.R. 20 AND ON VARIOUS LOCAL ROADS IN WAYNE COUNTY.,12.07,MILES
CNQ217,MAURY,THE REPAIR OF THE BRIDGE ON S.R. 166 OVER SUGAR CREEK (L.M. 3.10).,0.063,MILES
CNQ305,MONTGOMERY,"CONSTRUCTION OF TURN LANES ON S.R. 76 AT THE INTERSECTION OF TROUGH SPRINGS ROAD, AND IMPROVEMENT OF THE INTERSECTION AT FIRE STATION ROAD/VAUGHAN ROAD IN CLARKSVILLE.",0.432,MILES
CNQ136,PUTNAM,"THE GRADING, DRAINAGE AND PAVING ON A S.I.A. ROUTE SERVING INSTITUTIONAL WHOLESALE IN ALGOOD.",0.513,MILES
CNQ216,RUTHERFORD,"THE CONSTRUCTION OF TURN LANES ON U.S. 41 (S.R. 2) AT THE INTERSECTION OF DILTON-MANKIN ROAD (L.M. 3.57), INCLUDING SIGNALS.",0.19,MILES
CNQ304,SULLIVAN,"THE CONSTRUCTION OF A TRUCK CLIMBING LANE ON I-81 EB (MILE MARKER 60, L.M. 6.76 - 9.48) INCLUDING GRADING, DRAINAGE, CONSTRUCTION OF TWO (2) CONCRETE BOX BEAM BRIDGES AND PAVING.",2.723,MILES
CNQ270,WARREN,"THE CONSTRUCTION OF A CONCRETE BULB-TEE BEAM BRIDGE ON S.R. 288 OVER COLLINS RIVER (L.M. 4.97), INCLUDING GRADING, DRAINAGE AND PAVING.",0.424,MILES
CNQ308,WASHINGTON,"THE CONSTRUCTION OF A CONCRETE BOX BEAM BRIDGE ON U.S. 321 SB (U.S. 11, S.R. 34) OVER LIMESTONE CREEK (L.M. 1.72), INCLUDING GRADING, DRAINAGE AND PAVING.",0.388,MILES
CNQ301,WASHINGTON,"THE GRADING, DRAINAGE, CONSTRUCTION OF A RETAINING WALL AND PAVING WITH PORTLAND CEMENT CONCRETE ON I-26 EB FROM EAST OF S.R. 91 TO U.S. 321 (S.R. 67) IN JOHNSON CITY.",0.63,MILES
CNQ298,CAMPBELL,"THE CONSTRUCTION OF A CONCRETE I-BEAM BRIDGE ON S.R. 297 OVER LICK FORK CREEK (L.M. 5.25), INCLUDING GRADING, DRAINAGE AND PAVING.",0.087,MILES
CNQ211,"ANDERSON, BLOUNT, CAMPBELL, CARTER, CLAIBORNE, COCKE, GRAINGER, GREENE, HAMBLEN, HANCOCK, HAWKINS,
JEFFERSON, JOHNSON, KNOX, LOUDON, MONROE, MORGAN, ROANE, SCOTT, SEVIER, SULLIVAN, UNICOI, UNION, AND WASHINGTON",THE RANDOM ON-CALL SIGNING ON VARIOUS INTERSTATES AND STATE ROUTES.,0,MILES
CNQ199,"BEDFORD, CHEATHAM, DAVIDSON, DICKSON, GILES, HICKMAN, HOUSTON, HUMPHREYS, LAWRENCE, LEWIS, LINCOLN,
MACON, MARSHALL, MAURY, MONTGOMERY, MOORE, PERRY, ROBERTSON, RUTHERFORD, SMITH, STEWART, SUMNER, TROUSDALE,
WAYNE, WILLIAMSON, AND WILSON",THE RANDOM ON-CALL SIGNING ON VARIOUS INTERSTATES AND STATE ROUTES.,0,MILES
CNQ214,"BENTON, CARROLL, CHESTER, CROCKETT, DECATUR, DYER, FAYETTE, GIBSON, HARDEMAN, HARDIN, HAYWOOD,
HENDERSON, HENRY, LAKE, LAUDERDALE, MADISON, MCNAIRY, OBION, SHELBY, TIPTON, AND WEAKLEY",THE RANDOM ON-CALL SIGNING ON VARIOUS INTERSTATES AND STATE ROUTES.,0,MILES
CNQ207,"BLEDSOE, BRADLEY, CANNON, CLAY, COFFEE, CUMBERLAND, DEKALB, FENTRESS, FRANKLIN, GRUNDY, HAMILTON,
JACKSON, MARION, MCMINN, MEIGS, OVERTON, PICKETT, POLK, PUTNAM, RHEA, SEQUATCHIE, VAN BUREN, WARREN, AND WHITE",THE RANDOM ON-CALL SIGNING ON VARIOUS INTERSTATES AND STATE ROUTES.,0,MILES
CNQ175,CANNON AND DEKALB,"THE MISCELLANEOUS SAFETY IMPROVEMENTS ON S.R. 53 FROM STONES RIVER ROAD TO TATE ROAD, AND ON S.R. 146 FROM THE CANNON COUNTY LINE TO GAME RIDGE ROAD.",11.72,MILES
CNQ203,DAVIDSON,THE TUNNEL CLEANING OF THE THOMPSON LANE UNDERPASS ON S.R. 155.,0,MILES
CNQ218,"DAVIDSON, DICKSON, ROBERTSON, RUTHERFORD, SUMNER, WILLIAMSON, AND WILSON","THE ANNUAL PREVENTATIVE AND UNSCHEDULED MAINTENANCE ON THE NASHVILLE SMARTWAY I.T.S. SYSTEM EQUIPMENT, INCLUDING THE TRANSPORTATION MANAGEMENT CENTER (2016-2018).",0,MILES
CNQ174,HAMILTON,"THE TUNNEL CLEANING OF THE MCCALLIE TUNNEL ON U.S.11 (U.S. 64, S.R. 2), THE STRINGERS RIDGE TUNNEL ON U.S. 127 (S.R. 8), AND THE BACHMAN TUBES ON U.S. 41 (U.S. 76, S.R. 8).",0,MILES
CNQ020,JEFFERSON,MISCELLANEOUS SAFETY IMPROVEMENTS ON S.R. 66 FROM S.R. 9 TO S.R. 341 AND ON EAST DUMPLIN VALLEY ROAD FROM TALBOTT-KANSAS ROAD TO S.R. 92.,14.23,MILES
CNQ201,KNOX,THE TUNNEL CLEANING ON THE HENLEY STREET CONNECTOR TUNNEL ON S.R. 1 AND THE SMARTFIX TUNNEL ON S.R. 158 (JAMES WHITE PARKWAY).,0,MILES
CNQ139,LAUDERDALE,"THE RESURFACING ON U.S. 51 (S.R. 3) FROM NEAR S.R. 19 (LAKE DRIVE) TO NEAR WILSON ROAD, AND IMPROVEMENT OF THE INTERSECTION ON U.S. 51 (S.R. 3) AT INDUSTRIAL DRIVE IN RIPLEY.",6.767,MILES
CNQ006,LAWRENCE,"MISCELLANEOUS SAFETY IMPROVEMENTS ON S.R. 6 AT THE INTERSECTIONS OF EAST GAINES STREET AND ALSO S.R. 15, INCLUDING IMPROVEMENTS ON S.R. 98 AND ON OLD FLORENCE-PULASKI ROAD.",6.81,MILES
CNQ180,LAWRENCE,THE RESURFACING ON U.S. 64 (S.R. 15) FROM WEST OF DAVID CROCKETT ELEMENTARY SCHOOL (L.M. 12.64) TO EAST OF COLUMBIA AVENUE (L.M. 16.02).,3.28,MILES
CNQ171,LAWRENCE,THE RESURFACING ON S.R. 242 FROM SOUTH OF HUDSON ROAD (L.M. 28.20) TO S.R. 240 (L.M. 34.20).,5.99,MILES
CNQ170,LEWIS,THE RESURFACING ON U.S. 412 (S.R. 20) FROM THE PERRY COUNTY LINE (L.M. 0.00) TO WEST LINDEN AVENUE (L.M. 5.67).,5.67,MILES
CNQ196,MADISON,"THE RESURFACING ON S.R. 186 FROM CARRIAGE HOUSE DRIVE (L.M. 3.09) TO CHANNING WAY (L.M. 4.44), INCLUDING I-40 AND VANN DRIVE RAMPS AND BRIDGE DECK REPAIR.",1.35,MILES
CNQ181,MCNAIRY,"THE RESURFACING ON U.S. 64 (S.R. 15) FROM THE END OF THE 4 LANE SECTION TO THE HARDIN COUNTY LINE, AND ON S.R. 117 FROM S.R. 142 TO U.S. 64 (S.R. 15).",9.65,MILES
CNQ132,OBION,"THE RESURFACING ON U.S. 45E (S.R. 215) FROM U.S. 45E (S.R. 43) (L.M. 0.00) TO THE KENTUCKY STATE LINE (L.M. 2.07), INCLUDING BRIDGE DECK REPAIR.",2.07,MILES
CNQ208,OBION,THE RESURFACING ON U.S. 51 (S.R. 3) FROM WALKER TANNER ROAD (L.M. 16.02) TO S.R. 431 (L.M. 17.83).,1.81,MILES
CNQ167,PERRY,THE RESURFACING ON U.S. 412 (S.R. 20) FROM THE BUFFALO RIVER (L.M. 12.90) TO EAST OF JACKSON CEMETERY ROAD (L.M. 19.00).,6.1,MILES
CNQ164,ROBERTSON,THE RESURFACING ON U.S. 431 (S.R. 65) FROM NORTH OF U.S. 41 (S.R. 11) (L.M. 7.70) TO BRICK SCHOOL ROAD (L.M. 14.49).,6.79,MILES
CNQ159,SULLIVAN,THE RESURFACING ON S.R. 346 FROM THE HAWKINS COUNTY LINE (L.M. 0.00) TO S.R. 36 (L.M. 1.92).,1.92,MILES
CNQ172,SUMNER,"THE GRADING, DRAINAGE, CONSTRUCTION OF RETAINING WALLS AND PAVING ON S.R. 109 FROM ODOM’S BEND ROAD TO THE S.R. 109 BYPASS SOUTH OF GALLATIN.",1.272,MILES
CNQ168,SUMNER,THE RESURFACING ON S.R. 258 FROM NEW HOPE ROAD (L.M. 8.10) TO THE ROBERTSON COUNTY LINE (L.M. 13.54).,5.25,MILES
CNQ160,WASHINGTON,"THE RESURFACING ON U.S. 321 (U.S. 11E, S.R. 34) FROM THE GREENE COUNTY LINE (L.M. 0.00) TO SOUTH OF PERSIMMON RIDGE ROAD (L.M. 9.05), INCLUDING BRIDGE DECK REPAIR.",9.05,MILES
CNQ178,WAYNE,THE RESURFACING ON S.R. 114 FROM U.S. 64 (S.R. 15) (L.M. 0.00) TO THE HARDIN COUNTY LINE (L.M. 7.89).,7.84,MILES
CNQ183,WEAKLEY,THE RESURFACING ON S.R. 124 FROM STAFFORDS STORE ROAD (L.M. 6.36) TO THE CARROLL COUNTY LINE (L.M. 15.77).,9.41,MILES
CNQ213,MAURY,THE CONSTRUCTION OF A NEW INTERCHANGE INCLUDING A CONCRETE BULB-TEE BEAM BRIDGE AND PAVING WITH PORTLAND CEMENT CONCRETE ON S.R. 166 AT U.S. 43 (S.R. 6) IN MOUNT PLEASANT.,0.662,MILES
CNQ031,OBION,"THE GRADING, DRAINAGE, CONSTRUCTION OF EIGHT (8) BRIDGES ON FUTURE I-69 FROM 0.2 MILE SOUTH OF U.S. 51 (S.R. 3) TO 0.2 MILE SOUTH OF U.S. 45W (S.R. 5).",2.422,MILES
CNQ925,FRANKLIN,"THE IMPROVEMENT OF THE INTERSECTION ON S.R. 97 AT BEANS CREEK ROAD (L.M. 4.70), INCLUDING GRADING, DRAINAGE AND PAVING.",0.089,MILES
CNQ239,"BENTON, CARROLL, FAYETTE, HENDERSON, MADISON, AND SHELBY",THE FENCE REPAIR ON VARIOUS INTERSTATE ROUTES.,0,MILES
CNQ161,BLOUNT,"THE RESURFACING ON U.S. 411 (S.R. 35) FROM U.S. 129 (S.R. 115) (L.M. 0.00) TO NORTH OF ELLIS ROAD (L.M. 2.61), INCLUDING BRIDGE DECK REPAIR.",2.61,MILES
CNQ173,BRADLEY,"THE RESURFACING ON U.S. 11BP (S.R. 2) FROM SOUTH LEE HIGHWAY (U.S. 11, U.S. 64, S.R. 2) AND GROVE AVENUE (L.M. 8.89) TO PAUL HUFF PARKWAY (L.M. 12.82).",3.93,MILES
CNQ154,CAMPBELL,THE RESURFACING ON U.S. 25W (S.R. 9) FROM STINKING CREEK ROAD (L.M. 13.43) TO DUFF ROAD (L.M. 19.06).,5.63,MILES
CNQ105,CANNON,THE RESURFACING ON S.R. 145 FROM U.S. 70S (S.R. 1) (L.M. 0.00) TO NORTH OF LOCKE CREEK ROAD OVERPASS (L.M. 3.57).,3.57,MILES
CNQ186,CANNON,THE RESURFACING ON S.R. 281 FROM WEST OF U.S. 70S (S.R. 1) (L.M. 4.18) TO S.R. 146 (L.M. 6.07).,1.89,MILES
CNQ233,CARROLL,"THE CONSTRUCTION OF A CONCRETE BULB-TEE BEAM BRIDGE ON S.R. 424 OVER ROAN CREEK (L.M. 11.61), INCLUDING GRADING, DRAINAGE AND PAVING.",0.142,MILES
CNQ176,CHEATHAM,THE RESURFACING ON S.R. 12 FROM S.R. 455 (L.M. 5.85) TO BRUCE BRADLEY ROAD (L.M. 12.50).,6.57,MILES
CNQ235,CLAY,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNQ240,COFFEE,THE INSTALLATION OF FLASHING SCHOOL SPEED LIMIT SIGNS ON S.R. 53 AT THE COFFEE COUNTY MIDDLE SCHOOL (L.M. 2.94 - L.M. 3.20).,0.26,MILES
CNQ187,COFFEE,THE RESURFACING ON U.S. 41A (S.R. 16) FROM EAST OF S.R. 269 (L.M. 2.04) TO S.R. 130/S.R. 55 (L.M. 4.36).,2.32,MILES
CNQ234,DAVIDSON,"THE GRADING, DRAINAGE AND PAVING ON I-40 EB AT THE INTERCHANGE OF I-440 SOUTH (L.M. 13.83 - L.M. 14.23).",0.404,MILES
CNQ185,DAVIDSON,THE RESURFACING ON S.R. 45 (OLD HICKORY BOULEVARD) FROM U.S. 70 (S.R. 24) (L.M. 15.67) TO NORTH OF THE I-40 EB RAMP IN NASHVILLE (L.M. 17.44).,1.77,MILES
CNQ227,DAVIDSON,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON S.R. 155 (BRILEY PARKWAY) FROM GLASTONBURY DRIVE (L.M. 5.86) TO NORTH OF KAREN DRIVE (L.M. 6.02).,0.154,MILES
CNQ215,DAVIDSON,THE INSTALLATION OF AN OVERHEAD SIGN STRUCTURE ON S.R. 155 WB (L.M. 25.90).,0,MILES
CNQ197,FAYETTE,"THE RESURFACING ON U.S. 64 (S.R. 15) FROM THE 5 LANE SECTION TO NEAR TOMLIN ROAD, AND THE INSTALLATION OF SIGNALS ON S.R. 15 AT WARREN ROAD AND ON S.R. 76 AT SOMERVILLE ELEMENTARY.",2.86,MILES
CNQ188,FRANKLIN,THE RESURFACING ON U.S. 41A (S.R. 16) FROM EAST OF STEWART LANE (L.M. 4.33) TO PETERS ROAD & PEABODY ROAD (L.M. 7.98).,3.56,MILES
CNQ195,GIBSON,"THE RESURFACING ON S.R. 77 FROM THE DYER COUNTY LINE TO U.S. 45W (S.R. 5), AND ON S.R. 185 FROM U.S. 45W (S.R. 5) TO THE 90 DEGREE TURN.",9.49,MILES
CNQ193,HAMILTON,THE RESURFACING ON S.R. 153 FROM THE S.R. 319 UNDERPASS (L.M. 8.89) TO NORTH OF GRUBB ROAD (L.M. 10.85).,1.96,MILES
CNQ192,HAMILTON AND MEIGS,THE RESURFACING ON S.R. 60 ALONG THE MEIGS/HAMILTON COUNTY LINE BEGINNING AT THE BRADLEY COUNTY LINE IN MEIGS COUNTY EXTENDING TO THE MEIGS COUNTY LINE IN HAMILTON COUNTY.,5.11,MILES
CNQ242,HANCOCK,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNQ226,HAYWOOD,"THE CONSTRUCTION OF A CONCRETE BULB-TEE BEAM BRIDGE ON S.R. 76 OVER THE HATCHIE RIVER (L.M. 8.98), INCLUDING GRADING, DRAINAGE AND PAVING.",0.204,MILES
CNQ229,HUMPHREYS,THE RESURFACING ON A S.I.A. ROUTE SERVING MULTIPLE INDUSTRIES ON SCEPTER ROAD.,2.44,MILES
CNQ200,JACKSON,THE RESURFACING ON S.R. 135 FROM SOUTH OF SPRING CREEK ROAD (L.M. 7.67) TO S.R. 53 (L.M. 15.74).,8.07,MILES
CNQ249,KNOX,THE RESURFACING ON I-40 FROM THE RAMP TO WEST OF DALE AVENUE (L.M. 17.84) TO THE BRIDGE OVER BLACKSTOCK AVENUE AND CSX RAILROAD (L.M. 18.91).,1.07,MILES
CNQ156,KNOX,"THE RESURFACING ON U.S. 11 (U.S. 70, S.R. 1) FROM TOWANDA TRAIL (SEQUOYA HILLS) (L.M. 15.53) TO S.R. 158 (L.M. 17.30).",1.77,MILES
CNQ190,KNOX,THE RESURFACING ON S.R. 62 FROM TEXAS AVENUE (L.M. 13.89) TO S.R. 1 (HENLEY STREET) (L.M. 16.51).,2.62,MILES
CNQ232,LAKE,"THE CONSTRUCTION OF A CONCRETE I-BEAM BRIDGE ON S.R. 21 OVER BRANCH (L.M. 1.20), INCLUDING GRADING, DRAINAGE AND PAVING.",0,MILES
CNQ223,LINCOLN,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNQ169,LINCOLN,THE RESURFACING ON U.S. 64 (S.R. 15) FROM S.R. 244 (L.M. 6.56) TO EAST OF OLD BETHEL ROAD (L.M. 10.30).,3.71,MILES
CNQ162,LINCOLN,THE RESURFACING ON U.S. 431 (S.R. 50) FROM S.R. 273 (L.M. 12.41) TO U.S. 231 (S.R. 10) (L.M. 13.45) IN FAYETTEVILLE.,1.04,MILES
CNQ236,LINCOLN,"THE GRADING, DRAINAGE AND PAVING ON A S.I.A. ROUTE SERVING GENERAL PRODUCTS PARTNERS, LLC.",0.744,MILES
CNQ166,LOUDON,THE RESURFACING OF S.R. 95 FROM U.S. 411 (S.R. 33) (L.M. 0.00) TO U.S. 321 (S.R. 73) (L.M. 9.88).,9.88,MILES
CNQ184,MACON,"THE CONSTRUCTION OF A CONCRETE SLAB BRIDGE ON S.R. 151 OVER SALT LICK CREEK (L.M. 2.47), INCLUDING GRADING, DRAINAGE AND PAVING.",0.079,MILES
CNQ202,MARION,THE RESURFACING ON S.R. 27 FROM NORTH OF BIG FORK ROAD (L.M. 22.36) TO SUCK CREEK AT THE HAMILTON COUNTY LINE (L.M. 28.06).,5.7,MILES
CNQ230,MARSHALL,"THE MISCELLANEOUS SAFETY IMPROVEMENTS INCLUDING GRADING, PAVING AND INSTALLATION OF SCHOOL SPEED LIMIT SIGNS ON S.R. 417 AT OLD COLUMBIA ROAD (L.M. 1.29 TO L.M. 1.32).",0,MILES
CNQ100,MARSHALL,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON U.S. 431(S.R. 50) FROM BELFAST/FARMINGTON ROAD (L.M. 11.69) TO NEAR LIBERTY VALLEY ROAD (L.M. 11.80).,0.11,MILES
CNQ244,MCMINN,THE RESURFACING ON U.S. 11BR (S.R. 305) FROM S.R. 30 (L.M. 0.00) TO U.S. 11 (S.R. 2) (L.M. 2.85).,2.85,MILES
CNQ248,MEIGS,THE RESURFACING ON OLD S.R. 30 FROM COTTONPORT ROAD EAST OF NEW S.R. 30 (L.M. 0.15) TO WEST MEMORIAL DRIVE (L.M. 2.48).,2.33,MILES
CNQ157,MONROE,THE RESURFACING ON U.S. 411 (S.R. 33) FROM WARREN STREET (L.M. 7.01) TO STINNETT RIDGE ROAD (L.M. 8.88).,1.87,MILES
CNQ191,MONTGOMERY,THE RESURFACING ON U.S. 79 (S.R. 76) FROM S.R. 374 (L.M. 9.56) TO U.S. 41A (S.R. 12) (L.M. 13.29).,3.73,MILES
CNQ224,OBION,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNQ245,OVERTON AND PUTNAM,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON S.R. 85 IN OVERTON COUNTY AND ON S.R. 136 IN OVERTON AND PUTNAM COUNTIES.,17.25,MILES
CNQ204,PUTNAM,THE RESURFACING ON U.S. 70N (S.R. 24) FROM MILLER ROAD TO WEST 4TH STREET AND FROM WEST OF OLD KENTUCKY ROAD TO HITCHCOCK DRIVE.,4.66,MILES
CNQ205,RHEA,THE RESURFACING ON U.S. 27 (S.R. 29) FROM THE HAMILTON COUNTY LINE (L.M. 0.00) TO NORTH OF BLACK OAK ESTATES ROAD (L.M. 2.50).,2.5,MILES
CNQ179,ROBERTSON,THE RESURFACING ON S.R. 161 FROM S.R. 25 (L.M. 5.22) TO THE KENTUCKY STATE LINE (L.M. 9.92).,4.61,MILES
CNQ198,RUTHERFORD,"THE RESURFACING ON S.R. 266 FROM NOLAN DRIVE (L.M. 3.33) TO S.R. 102 (L.M. 5.01), INCLUDING BRIDGE DECK REPAIR.",1.54,MILES
CNQ222,RUTHERFORD,THE RESURFACING ON S.R. 266 FROM THE S.R. 840 WB RAMP (L.M. 8.65) TO U.S. 231 (S.R. 10) (L.M. 13.30).,4.6,MILES
CNQ231,SCOTT,"THE GRADING, DRAINAGE, WIDENING OF A CONCRETE I-BEAM BRIDGE OVER FLAT CREEK (L.M. 1.96) AND PAVING ON S.R. 63 FROM WATER PLANT ROAD TO PARK ROAD IN HUNTSVILLE.",0.203,MILES
CNQ206,SEQUATCHIE,THE RESURFACING ON S.R. 28 FROM SOUTH OF THE BRIDGE OVER WOODCOCK CREEK (L.M. 4.00) TO U.S. 127 (S.R. 8) (L.M. 7.49).,3.49,MILES
CNQ158,SULLIVAN,"THE RESURFACING ON S.R. 126 FROM S.R. 93 (L.M. 0.00) TO S.R. 36 (L.M. 3.11), INCLUDING BRIDGE DECK REPAIR.",2.78,MILES
CNQ182,SUMNER,THE RESURFACING ON S.R. 25 FROM HALL TOWN ROAD (L.M. 4.95) TO WEST OF BRADFORD DRIVE (L.M. 11.98).,7,MILES
CNQ251,UNICOI,"THE GRADING, DRAINAGE, CONSTRUCTION OF A CONCRETE BOX BRIDGE AND PAVING ON A S.I.A. ROUTE SERVING NUCLEAR FUEL SERVICES (NFS) IN ERWIN.",0.813,MILES
CNQ177,WILLIAMSON,THE RESURFACING ON S.R. 397 FROM U.S. 31 (S.R. 6) (L.M. 0.00) TO S.R. 96 (L.M. 3.20) IN FRANKLIN.,2.91,MILES
CNQ165,WILLIAMSON,THE RESURFACING ON U.S. 31 (S.R. 6) FROM THE MAURY COUNTY LINE (L.M. 0.00) TO SOUTH OF THE S.R. 840 OVERHEAD BRIDGE (L.M. 5.00).,5,MILES
CNQ225,WILLIAMSON,THE RESURFACING ON S.R. 246 FROM MILE END ROAD (L.M. 9.67) TO FORREST STREET (L.M. 12.97).,3.3,MILES
CNQ221,WILSON,"THE RESURFACING ON S.R. 96 FROM THE CANNON COUNTY LINE (L.M. 0.00) TO THE DEKALB COUNTY LINE (L.M. 3.94), INCLUDING BRIDGE DECK REPAIR.",3.85,MILES
CNQ702,"ANDERSON, GRAINGER, AND UNION",THE MOWING ON VARIOUS STATE ROUTES.,248.26,MILES
CNQ703,"BEDFORD, MARSHALL, MAURY, AND MOORE",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,289.2,MILES
CNQ704,"BENTON, CARROLL, DECATUR, HENDERSON, AND MADISON",THE SWATH MOWING AND LITTER REMOVAL ON I-40.,52.7,MILES
CNQ705,"BENTON, CARROLL, HENRY, OBION, AND WEAKLEY",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,701.13,MILES
CNQ707,BLOUNT AND KNOX,THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,316.45,MILES
CNQ708,"BLOUNT, LOUDON, MONROE, AND ROANE",THE MOWING ON VARIOUS STATE ROUTES.,574.23,MILES
CNQ710,"CAMPBELL, CLAIBORNE, MORGAN, AND SCOTT",THE MOWING ON VARIOUS STATE ROUTES.,307.78,MILES
CNQ711,"CANNON, VAN BUREN, AND WARREN",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,246.77,MILES
CNQ713,"CARTER, JOHNSON, SULLIVAN, UNICOI, AND WASHINGTON",THE MOWING ON VARIOUS STATE ROUTES.,439.34,MILES
CNQ714,"CHEATHAM, MONTGOMERY, ROBERTSON, AND SUMNER","THE MOWING, SWATH MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.",296.11,MILES
CNQ715,"CHESTER, HARDEMAN, HARDIN, AND MCNAIRY",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,547.42,MILES
CNQ716,"CLAY, CUMBERLAND, FENTRESS, OVERTON, AND PICKETT",THE MOWING ON VARIOUS STATE ROUTES.,421.78,MILES
CNQ719,COFFEE AND FRANKLIN,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,254.45,MILES
CNQ720,"COFFEE, GRUNDY, HAMILTON, AND MARION",THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE ROUTES.,69.97,MILES
CNQ721,"CROCKETT, DECATUR, HAYWOOD, HENDERSON, AND MADISON",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,596.22,MILES
CNQ723,DAVIDSON,THE MOWING AND LITTER REMOVAL ON I-440.,7.6,MILES
CNQ722,DAVIDSON,THE MOWING ON VARIOUS STATE ROUTES.,190.19,MILES
CNQ727,"FAYETTE, HAYWOOD, AND MADISON",THE SWATH MOWING AND LITTER REMOVAL ON I-40.,52.95,MILES
CNQ729,GILES AND LAWRENCE,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,150.81,MILES
CNQ730,"GILES, MARSHALL, AND MAURY","THE MOWING, SWATH MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.",57.47,MILES
CNQ731,"GREENE, HAMBLEN, HANCOCK, AND HAWKINS",THE MOWING ON VARIOUS STATE ROUTES.,455.68,MILES
CNQ732,HAMILTON,THE MOWING ON VARIOUS INTERSTATE AND STATE ROUTES.,69.48,MILES
CNQ733,"HAMILTON, MEIGS, AND RHEA",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,279.34,MILES
