item_no,description,unit,count
713-09.20,STEEL OVERHEAD SIGN STRUCTURE (SPAN____),EACH,84
713-11.23,ROUND POST SLIP BASE,EACH,84
797-10.03,CONNECT 10-18IN SEWER TO EXIST. MANHOLE,EACH,83
790-60.01,1PH FUSE CUTOUT XARM MOUNT 15KV,EACH,83
705-03.02,MEDIAN DIVIDER GUARDRAIL (TYPE 2),L.F.,83
713-15.38,EXTRUDED ALUMINUM PANELS FOR OVERLAYING BACKGROUND,S.F.,83
791-10.06,RETIRE IN PLACE 6IN SERV CUT & PLUG,EACH,83
790-32.19,DN GUY HVY CONST - 1 PREFORM,EACH,83
209-06.02,12 DIA COIR LOG (DESCRIPTION),L.F.,83
611-07.68,42IN ENDWALL (CROSS DRAIN) 6:1,EACH,83
309-01.02,PORTLAND CEMENT (A-CBC),TON,83
309-01.01,MINERAL AGGREGATE (A-CBC),TON,83
795-07.01,4IN X 4IN TAPPING SLEEVE AND VALVE,EACH,83
604-10.09,CONCRETE,C.Y.,83
795-14.02,CLASS B CONCRETE,C.Y.,82
712-08.14,PORTABLE QUEUE WARNING SYSTEM,DAY,82
202-06.06,REMOVAL OF BUILDINGS (TRACT NO.),LS,82
802-01.10,TREES (DESCRIPTION),EACH,82
680-02.01,BUILDING (DESCRIPTION),EACH,82
790-06.05,POLE 55 FT CLASS 1 METAL,EACH,82
790-06.07,POLE 55FT CLASS H1 METAL,EACH,82
705-20.04,"NOSE ASSEMBLY, M10",EACH,82
793-11.20,HANDHOLE 30INX48IN,EACH,82
209-02.04,10 TEMPORARY SLOPE DRAIN,L.F.,82
705-20.03,REPOSITIONING IMPACT ATTENUATOR (M10),EACH,82
730-26.07,FLASHING WARNING BEACON (DESCRIPTION),EACH,82
793-98.05,RETIRE BURIED FACILITIES IN PLACE,L.F.,82
706-10.72,PULL AND REINSTALL GUARDARAIL POST FOR VERIFICATION,EACH,81
791-09.06,RESTORE CONCRETE,S.Y.,81
706-10.54,RE-ALIGN GUARDRAIL,L.F.,81
714-09.12,LUMINAIRES (DESCRIPTION),EACH,81
714-06.04,CABLE (1/C # 8 AWG),L.F.,81
607-11.03,60 CONCRETE PIPE CULVERT (CLASS III),L.F.,81
713-15.41,SIGN REMOVAL (DESCRIPTION),LS,80
604-10.34,CONCRETE OVERLAYED BRIDGE DECK REPAIR (FULL DEPTH),S.Y.,80
908-21.01,BEARINGS (DESCRIPTION),EACH,80
716-05.69,PERFORMANCE BASED RETRACING PAINTED 4IN LINE,L.M.,80
414-03.03,MICRO SURFACING,S.Y.,80
790-05.06,POLE 50FT CLASS 2 METAL,EACH,80
502-03.13,CONCRETE PAVEMENT REMOVAL,S.Y.,80
706-10.83,DRILL BR. PAR. WALL FOR MICHIGAN END SHOE,EACH,80
615-02.02,PRESTRESSED CONCRETE BOX BEAM (17 X 36),L.F.,80
719-01.00,SWEEPING,L.M.,80
615-01.02,PRESTRESSED CONCRETE I-BEAM (TYPE II),L.F.,80
711-05.78,GRADE SEPARATED SINGE SLOPE MEDIAN WALL,L.F.,80
607-16.02,30X 19 HORIZONTAL OVAL CONCRETE PIPE CULVERT,L.F.,80
713-16.30,SIGNS (DESCRIPTION),EACH,80
730-01.03,MODIFICATION OF EXISTING TRAFFIC SIGNAL EQUIPMENT,EACH,79
604-15.01,PORTLAND CEMENT GROUT,C.Y.,79
307-03.03,AGGREGATE(BPMB-HM) GRADING AS,TON,79
307-03.02,PERF. GRADE ASPH. CEMENT(PG76-22)GRADING AS,TON,79
705-01.02,GUARDRAIL AT BRIDGE PIERS,L.F.,79
611-38.03,"CATCH BASINS, TYPE 38, > 8 - 12 DEPTH",EACH,79
706-06.02,MEDIAN DIVIDER THRIE RAIL (TYPE 2),L.F.,79
307-01.02,ASPHALT CEMENT (PG64-22) (BPMB-HM) GRADING A-S,TON,79
611-02.01,"SPRING DRAIN BOX, TYPE 1",EACH,79
791-09.03,17LB MAGNESIUM ANODES,EACH,79
790-25.10,3PH CROSSARM DBL PRIM SUPPORT 15KV,EACH,79
791-07.09,2IN STEEL GAS VALVE ASSEMBLY,EACH,79
793-04.06,READY ACCESS CLOSURE,EACH,78
611-31.02,"CATCH BASINS, TYPE 31, > 4 - 8 DEPTH",EACH,78
607-37.03,24 CORRUGATED METAL PIPE CULVERT,L.F.,78
202-02.22,REMOVAL OF PIPE (DESCRIPTION),L.F.,78
307-01.03,AGGREGATE (BPMB-HM) GRADING A-S,TON,78
705-04.11,STONE FOR GUARDRAIL END TERMINAL PAD,TON,78
705-20.32,QGE HIT INDICATOR,EACH,78
204-10.03,"FOUNDATION PREPARATION(PR NO.  ,STA          )",LS,78
705-20.33,QGE CYLINDER TYPE I  (QGE),EACH,78
705-20.34,QGE CYLINDER TYPE II  (QGE),EACH,78
795-09.12,2IN COPPER SERVICE PIPE,L.F.,77
725-21.11,NETWORK SWITCH (TYPE A),EACH,77
730-03.25,INSTALL PULL BOX (DESCRIPTION),EACH,77
706-10.82,CONCRETE BRIDGE END OR PIER PROTECTION REPAIR,C.Y.,77
705-10.32,GUARDRAIL ATTACHMENT TO EXISTING BRIDGE PIER PROTECTION,EACH,77
790-65.06,LIGHTNING ARRESTER POLE MTD 18 KV,EACH,77
705-04.29,C-A-T CRASH CUSHION ATTENUATING TERMINAL,EACH,77
790-26.24,3PH VERTICAL DEAD END LRG COND 25KV,EACH,77
706-10.71,HAZARD MARKERS,EACH,77
706-10.81,GUARDRAIL REFLECTORS,EACH,77
795-01.07,10IN DIP RESTRAINED JOINT WATER LINE,L.F.,77
797-11.41,RESTORE CONCRETE,S.Y.,76
795-06.37,CUT AND CAP 12IN WATER LINE,EACH,76
604-10.63,CONCRETE REPAIRS (CRACKS),L.F.,76
705-04.20,GUARDRAIL DELINEATION ENHANCEMENT,EACH,76
795-14.09,RESTORE CONCRETE,S.Y.,76
795-09.02,1IN WATER SERVICE METER ASSEMBLY,EACH,76
790-03.01,POLE 40FT CLASS 2 WOOD,EACH,76
710-04.00,FILTER CLOTH UNDERDRAIN (WITH PIPE),L.F.,76
795-06.32,CUT AND CAP 4IN WATER LINE,EACH,76
790-30.01,SECONDARY ASSEMBLIES SMALL ANGLE,EACH,76
790-04.07,POLE 45FT CLASS 2 METAL,EACH,76
707-01.13,GATE - CHAIN-LINK FENCE-6 FOOT (DESCRIPTION),EACH,76
309-02.00,BITUMINOUS MATERIAL (A-CBC),TON,75
730-23.31,PEDESTAL POLE (DESCRIPTION),EACH,75
311-03.10,ASPHALT REJUVENATING AGENT,GAL.,75
791-08.17,HDD 3/4IN PE SERVICE PIPE,L.F.,75
797-07.08,48IN MANHOLE 16FT-20FT DEPTH,EACH,75
725-22.71,2IN CONDUIT,L.F.,75
730-01.01,REMOVE & RELOCATE EXISTING TRAFFIC SIGNAL EQUIPMENT,EACH,75
604-10.26,BRACING,EACH,74
793-02.92,OVERHEAD GUY WIRE (DESCRIPTION),EACH,74
802-11.01,ACER NEGUNDO (BOX ELDER 2-5FT CNTNR GRWN),EACH,74
725-20.71,ELECTRICAL CONNECTION,LS,74
611-07.14,PIPE CLEANING (>OR=18IN DIA.),L.F.,74
202-02.07,"REMOVAL OF PIPE (SIZE ,STA.)",L.F.,73
790-03.02,POLE 40FT CLASS 3 WOOD,EACH,73
795-01.08,10IN DIP SLIP JOINT WATER LINE,L.F.,73
793-12.01,DIG SPLICE PIT 80 C.F.,EACH,73
795-09.62,1IN PEX SERVICE PIPE,L.F.,73
705-20.20,LOW MAINT CRASH CUSHN NARROW (MASH TL-3),EACH,73
621-03.09,60 TEMPORARY DRAINAGE PIPE,L.F.,73
713-02.30,FLEXIBLE TUBULAR DELINEATOR,EACH,72
611-07.11,CLEAN DRAIN(WITH GRATE),EACH,72
999-99.03,P-101-5.1 CRACK REPAIR (TYPE I),L.F.,72
999-99.01,C-100 CONTRACTOR QUALITY CONTROL PROGRAM (CQCP),LS,72
795-11.04,RELOCATE FIRE HYDRANT,EACH,72
999-99.02,C-105 MOBILIZATION,LS,72
602-10.32,STRUCTURAL STEEL (REPAIRS),LB.,72
790-25.07,3PH CROSSARM DBL LRG COND 15KV,EACH,72
730-08.10,SIGNAL CABLE - (DESCRIPTION),L.F.,72
795-03.04,4IN PVC WATER LINE,L.F.,72
705-20.01,IMACT ATTENUATOR (QUADGUARD M10),EACH,72
602-10.01,STRUCTURAL STEEL REPAIRS,LS,72
999-99.07,P-608-8.1 EMULSIFIED ASPHALT SEAL COAT,S.Y.,72
801-01.30,COVER CROP SEED MIX (RIPZN/FLPL) W/MULCH,UNIT,72
802-11.11,CERCIS CANADENSIS (REDBUD 2-5FT CNTNR GRWN),EACH,71
791-08.03,1IN SERVICE ASSEMBLY,EACH,71
604-10.20,HYDRODEMOLITION,S.Y.,71
203-01.13,ROAD & DRAINAGE EXCAVATION (STREAM MITIGATION),C.Y.,71
791-07.10,4IN STEEL GAS VALVE ASSEMBLY,EACH,71
797-03.06,4IN PVC FORCE MAIN,L.F.,71
625-01.11,CAMERA INSPECTION - DRILLED SHAFT (UNDERWATER),EACH,71
604-10.22,CONCRETE PARAPET REPAIR,L.F.,71
725-24.51,SYSTEM INTEGRATION,LS,71
793-14.02,CONCRETE ENCASEMENT PER DUCT,L.F.,71
790-69.08,GROUND-GROUND ROD,EACH,71
790-07.08,POLE 60FT CLASS H2 METAL,EACH,71
607-08.30,42 PIPE CULVERT,L.F.,71
503-60.00,RETROFIT DOWEL BAR,EACH,71
795-01.13,16IN DIP RESTRAINED JOINT WATER LINE,L.F.,70
209-08.05,ENHANCED SILT FENCE CHECK (V-DITCH),EACH,70
790-08.04,POLE 65FT CLASS H2 METAL,EACH,70
611-39.03,"CATCH BASINS, TYPE 39, > 8 - 12 DEPTH",EACH,70
793-04.25,HOT SPLICE EXISTING CABLES,EACH,70
797-10.17,CONNECT TO 6IN FORCE MAIN,EACH,70
790-25.11,3PH CROSSARM DBL PRIM SUP LRG COND 15KV,EACH,70
611-07.13,PIPE CLEANING (<18IN DIA.),L.F.,70
716-15.10,PREFORMED PERMANENT TAPE (6IN LINE),L.F.,70
790-09.05,POLE 70FT CLASS H2 METAL,EACH,70
611-07.34,36IN ENDWALL (SIDE DRAIN),EACH,70
716-05.08,PAINTED PAVEMENT MARKING (PARKING LINE),L.F.,70
202-13.00,WATER WELL ABANDONMENT,EACH,70
802-11.16,FRAXINUS PENNSYLVANICA (GREEN ASH 2-5FT CNTNR GRWN),EACH,70
802-11.44,ULMUS AMERICANA (AMERICAN ELM 2-5FT CNTNR GRWN),EACH,70
713-16.32,SIGNS (DESCRIPTION),EACH,70
790-26.20,3PH VERTICAL ANGLE LRG COND 25KV,EACH,70
730-23.99,CANTILEVER SIGNAL SUPPORT (DESCRIPTION),EACH,70
791-03.05,6IN HDPE GAS MAIN,L.F.,70
791-01.06,8IN STEEL GAS MAIN,L.F.,70
705-20.35,QGE CYLINDER ME1  (QGEM),EACH,69
797-11.30,RETIREIN PLACE EXISTING SEWER <8IN,L.F.,69
705-20.37,QGE CYLINDER ME3 (QGEM),EACH,69
705-20.36,QGE CYLINDER ME2  (QGEM),EACH,69
730-12.24,CONDUIT 3 DIAMETER (DIRECTIONAL BORE),L.F.,69
714-25.02,ELECTRICAL CONNECTION (DESCRIPTION),LS,69
711-05.01,REMOVAL & DISPOSAL OF CONCRETE MEDIAN BARRIER,L.F.,69
793-04.08,TRANSFER AERIAL CABLE,EACH,69
611-07.12,CLEAN DRAIN(WALL DRAIN),EACH,69
790-22.14,1PH DEAD END TAP 25KV,EACH,69
607-05.05,24 CONCRETE PIPE CULVERT(CLASS IV)JACKED-IN-PLACE,L.F.,69
790-33.31,"SCREW TYPE ANCHOR 23,000LB (F1-5D-P)",EACH,68
790-41.49,UG SEC COND 4/0 AL TPLX,L.F.,68
620-09.00,REMOVAL & REPLACEMENT OF EXISTING BRIDGE RAIL,L.F.,68
999-99.09,P-620-5.2 TEMPORARY YELLOW PAINT,S.F.,68
793-11.19,MARKER POST,EACH,68
797-10.16,CONNECT TO 4IN FORCE MAIN,EACH,68
790-58.06,GOAB SWITCH 15KV,EACH,68
209-03.67,STREAM MITIGATION  WOOD TOE W/REINFORCED EARTH,L.F.,68
999-99.05,P-101-5.3 AIRFIELD PAVEMENT MARKING REMOVAL,S.F.,68
411-03.05,ACS MIX(PG64-22) THIN LIFT ASPHALT,S.Y.,68
502-03.26,PARTIAL DEPTH PCC PAVEMENT REPAIR HIGH EARLY,S.Y.,68
611-02.13,"JUNCTION BOX, TYPE 4",EACH,68
730-05.04,MODIFY EXISTING ELECTRICAL SERVICE CONNECTION,EACH,68
620-03.00,CONCRETE PARAPET (DESCRIPTION),L.F.,68
714-05.03,PULL BOXES (TYPE B),EACH,68
999-99.11,P-620-5.4 YELLOW PAINT WITH REFLECTIVE MEDIA,S.F.,68
705-11.03,SINGLE GUARDRAIL (TYPE 2) (POWDER COATED),L.F.,67
793-07.05,96 FIBER(MATERIAL ONLY),L.F.,67
607-39.06,42 PIPE CULVERT (SIDE DRAIN),L.F.,67
725-24.02,CABINET (TYPE B),EACH,67
793-13.27,4 DUCT FORMATION @ 36IN DEPTH,L.F.,67
203-02.02,BORROW EXCAVATION (GRADED SOLID ROCK),C.Y.,67
604-07.07,RETAINING WALL (DESCRIPTION),S.F.,67
604-10.17,NON-PENETRATING CONCRETE SEAL,S.Y.,67
790-42.16,1 DUCT @ 36IN-48IN DEPTH,L.F.,67
716-06.01,PAINTED WORD PVMT MARK (           ),EACH,67
793-07.02,24 FIBER(MATERIAL ONLY),L.F.,66
793-15.01,TRANSFER CABLE ATTACHMENT,EACH,66
791-06.04,CONNECT TO 6IN EX. PE MAIN,EACH,66
790-60.02,1PH FUSE CUTOUT BRKT MOUNT 15KV,EACH,66
725-22.74,2IN CONDUIT W/BANK,L.F.,66
703-02.00,CEMENT CONCRETE DITCH PAVING (REINFORCED),C.Y.,66
725-20.91,CCTV CAMERA SYSTEM (PAN TILT & ZOOM),EACH,66
725-22.22,CONDUIT BANK (TYPE 2),L.F.,66
202-01.03,REMOVAL OF TRASH AND DEBRIS,LS,66
797-11.35,REMOVE EXISTING SEWER 8IN-14IN,L.F.,65
790-26.12,3PH CROSSARM DBL SM ANGLE 25KV,EACH,65
790-30.02,SECONDARY ASSEMBLIES LRG ANGLE,EACH,65
790-26.28,3PH DBL 10FT XARM DDE 25KV,EACH,65
802-13.59,LINDERA BENZOIN (SPICEBUSH SDLNG BARE ROOT),EACH,65
611-41.01,"CATCH BASINS, TYPE 41, 0 - 4 DEPTH",EACH,65
730-25.13,CANTILEVER SIGNAL SUPPORT (1 ARM @ 65),EACH,65
797-03.08,6IN PVC FORCE MAIN,L.F.,65
716-09.88,CONTRAST PAVEMENT MARKING 8,L.M.,65
202-04.04,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS,65
611-51.02,"CATCH BASINS, TYPE 51, > 4 - 8 DEPTH",EACH,65
713-09.04,STEEL OVERHEAD SIGN STRUCTURE (SPAN____),EACH,65
790-04.01,POLE 45FT CLASS 1 WOOD,EACH,64
705-08.59,IMPACT ATTENUATOR REPOSITIONING (QUADGUARD ELITE),EACH,64
725-23.27,FIBER OPTIC CLOSURE (DESCRIPTION),EACH,64
795-09.51,RECONNECT SERVICE ASSEMBLY,EACH,64
714-08.34,REMOVAL OF LIGHT STANDARD,EACH,64
730-11.10,RISER ASSEMBLY (DESCRIPTION),EACH,64
801-07.01,CROWN VETCH SEED (SUPPLEMENTAL APPLICATION),LB.,64
790-69.27,EXTENSION LINK - EPOXY -4FT,EACH,64
714-04.03,CONDUIT (DESCRIPTION),L.F.,64
791-09.07,RESTORE GRAVEL,S.Y.,63
713-15.03,REMOVAL OF LARGER BARRIER MOUNTED SIGNS WITH SADDLE SUPPORTS,EACH,63
725-20.56,CABLE (1/C #4 AWG.),L.F.,63
611-12.05,"CATCH BASINS, TYPE 12, > 16 - 20 DEPTH",EACH,63
714-04.02,CONDUIT (STRUCTURES - 2 RGS),L.F.,63
793-13.22,3 DUCT FORMATION @ 36IN DEPTH,L.F.,63
790-20.02,"POLE(SPECIFY POLE LENGTH, CLASS, AND MATERIAL)",EACH,63
795-05.77,BORE/JACK 12IN STEEL CASING PIPE-ROCK.,L.F.,63
790-69.31,STICK PIN,EACH,63
713-15.10,REMOVAL OF SMALL BARRIER MOUNTED SIGNS W/ FLAT PLAT SUPPORTS,EACH,63
805-05.04,SECONDARY WALL (DESCRIPTION),S.F.,62
604-10.60,EXPANSION JOINT REPAIRS (MODULAR TYPE),L.F.,62
714-08.46,FOUNDATION (ONLY) FOR HIGH MAST LIGHT STANDARD,EACH,62
621-03.11,72 TEMPORARY DRAINAGE PIPE,L.F.,62
791-08.08,1IN PE SERVICE PIPE,L.F.,62
725-24.31,SPARE PARTS,LS,62
730-01.04,MODIFICATION OF EXISTING TRAFFIC SIGNAL EQUIPMENT,LS,62
202-02.23,REMOVAL OF PIPE (DESCRIPTION),L.F.,62
611-01.05,"MANHOLES, > 16 - 20 DEPTH",EACH,62
793-04.02,2 PAIR AERIAL DROP,L.F.,62
604-04.20,PAINTING CONCRETE SURFACES,S.F.,62
790-22.07,1PH DBL PTS ANGLE 25KV,EACH,62
790-26.25,3PH CROSSARM DDE 25KV,EACH,61
790-36.13,TRANSFER STREET LIGHT,EACH,61
202-01.01,REMOVAL OF STRUCTURES AND OBSTRUCTIONS,LS,61
730-25.01,CANTILEVER SIGNAL SUPPORT (1 ARM @ 50),EACH,61
705-06.41,CABLE BARRIER ANCHOR (MASH TL-3),EACH,61
604-03.20,BRIDGE JOINT MODIFICATION,L.F.,61
604-07.08,RETAINING WALL (DESCRIPTION),S.F.,61
611-26.02,"CATCH BASINS, TYPE 26, > 4 - 8 DEPTH",EACH,61
712-12.47,BRIDGE MOUNTED INTERCONNECTED PORTABLE BARRIER RAIL,L.F.,61
705-06.40,CABLE BARRIER (MASH TL-3),L.F.,61
209-03.42,STREAM MITIGATION - LIVE BRUSH LAYERING,L.F.,61
707-04.00,WATER CROSSING,L.F.,61
202-06.07,REMOVAL OF BUILDINGS (TRACT NO.),LS,61
797-07.01,48IN MANHOLE 0FT-4FT DEPTH,EACH,61
793-10.20,EXPOSE EXISTING CABLE/CONDUIT (ALL DEPTHS),L.F.,61
725-23.26,FIBER OPTIC CLOSURE (12 F),EACH,61
795-15.05,20IN STEEL CASING PIPE OPEN CUT METHOD,L.F.,61
607-05.03,24 CONCRETE PIPE CULVERT (CLASS IV),L.F.,61
713-16.06,DEAD END SIGN AND SUPPORT,EACH,61
502-25.00,SAWING CONCRETE JOINTS,L.F.,60
713-16.02,TRUCK MOUNTED IMPACT ATTENUATOR (W/FLASHING ARROW BOARD),EACH,60
790-31.12,SERVICE CONDUCTOR 1/0 AL TRIPLEX,L.F.,60
793-07.07,144 FIBER(MATERIAL ONLY),L.F.,60
716-05.50,PAINTED PAVEMENT MARKINGS(8 LINE),L.F.,60
607-08.05,42 CONCRETE PIPE CULVERT(CLASS IV)JACKED-IN-PLACE,L.F.,60
790-05.07,POLE 50FT CLASS H1 METAL,EACH,60
790-06.08,POLE 55FT CLASS H2 METAL,EACH,60
795-01.01,4IN DIP RESTRAINED JOINT WATER LINE,L.F.,60
793-03.12,50 PAIR CABLE,L.F.,60
604-36.00,SCARIFYING,S.Y.,60
705-08.54,TRACC WASHER 1/4 X 3 X 2-1/4,EACH,59
793-10.02,BURIED CABLE @ 36IN DEPTH,L.F.,59
202-08.28,REMOVAL OF MEDIAN BARRIER (DESCRIPTION),L.F.,59
604-10.32,EXPANSION JOINT REPAIRS (TYPE A),L.F.,59
802-12.11,CERCIS CANADENSIS (REDBUD SEEDLNG B.R.),EACH,59
730-25.07,CANTILEVER SIGNAL SUPPORT (1 ARM @ 55),EACH,59
730-25.14,CANTILEVER SIGNAL SUPPORT (1 ARM @ 70),EACH,59
705-08.56,TRACC BEAM GUIDE 72,EACH,59
705-11.01,GUARDRAIL AT BRIDGE ENDS (POWDER COATED),L.F.,59
705-08.55,TRACC DOUBLER PL X 38-1/2,EACH,59
406-04.02,HIGH FRICTION SURFACE TREATMENT,S.Y.,59
705-08.43,FORMED ANGLE 05 TRACC,EACH,59
790-05.05,POLE 50FT CLASS 1 METAL,EACH,59
209-09.24,JUTE MESH FABRIC,S.Y.,59
797-10.14,CONNECT TO 2IN FORCE MAIN,EACH,58
204-11.00,BRIDGE EXCAVATION (UNCLASSIFIED),C.Y.,58
611-16.02,"CATCH BASINS, TYPE 16, > 4 - 8 DEPTH",EACH,58
604-11.02,EXPANSION DEVICE (DESCRIPTION),L.F.,58
797-11.20,48IN MH ADJUSTMENT DECREASE HEIGHT,V.F.,58
802-01.11,TREES (DESCRIPTION),EACH,58
607-07.03,36 CONCRETE PIPE CULVERT (CLASS IV),L.F.,58
790-26.22,3PH VERTICAL DDE ANGLE LRG COND 25KV,EACH,58
713-16.33,SIGNS (DESCRIPTION),EACH,58
307-01.07,ASPHALT CONCRETE MIX (PG64-22) (BPMB-HM) GRADING B-M,TON,57
707-08.01,FENCE (DESCRIPTION),L.F.,57
714-04.01,CONDUIT (STRUCTURES - 1 RGS),L.F.,57
802-11.12,CORNUS FLORIDA (FLOWERING DOGWOOD 2-5FT CNTNR GRWN),EACH,57
797-11.39,TV INSPECTION,L.F.,57
713-09.05,STEEL OVERHEAD SIGN STRUCTURE (SPAN____),EACH,57
801-01.08,SEEDING (SPECIAL MIXTURE) WITH MULCH,UNIT,57
790-69.41,EXTENSION LINK - EPOXY -8FT,EACH,57
710-10.02,6 PERFORATED PLASTIC PIPE,L.F.,57
710-06.14,LATERAL UNDERDRAIN ENDWALL (5:1),EACH,57
802-12.44,ULMUS AMERICANA (AMERICAN ELM SEEDLNG B.R.),EACH,57
209-40.31,CATCH BASIN PROTECTION (TYPE B),EACH,57
203-11.00,SCALING AND TRIMMING,S.Y.,57
793-03.14,100 PAIR CABLE,L.F.,57
725-20.02,CCTV POLE & FOUNDATION (80FT POLE W/LWRNG DVICE),EACH,57
611-10.02,"CATCH BASINS, TYPE 10, > 4 - 8 DEPTH",EACH,57
730-16.14,CONTROLLER (DESCRIPTION),EACH,57
203-30.01,ROADWAY APPROACHES,LS,57
607-03.03,18 CONCRETE PIPE CULVERT (CLASS IV),L.F.,56
793-07.17,108-144 FIBER(INSTALLATION ONLY),L.F.,56
790-65.05,LIGHTNING ARRESTER ARM MTD 18 KV,EACH,56
797-08.04,4IN PVC PIPE FOR SERVICE LATERAL,L.F.,56
999-99.08,P-620-5.1 TEMPORARY WHITE PAINT,S.F.,56
793-07.41,HOT SPLICE EXISTING FIBER CABLES,EACH,56
716-05.03,PAINTED PAVEMENT MARKING (CROSS-WALK),L.F.,56
621-03.08,54 TEMPORARY DRAINAGE PIPE,L.F.,56
797-09.26,2IN AIR/VAC VALVE ASSEMBLY,EACH,56
611-07.71,48IN ENDWALL (CROSS DRAIN) 6:1,EACH,56
725-20.55,CABLE (1/C #6 AWG.),L.F.,56
999-99.10,P-620-5.3 WHITE PAINT WITH REFLECTIVE MEDIA,S.F.,56
705-80.23,LONGITUDINAL CABLE BARRIER (END TERMINAL) TL-4,EACH,56
795-06.30,CUT/CAP EXISTING LINES (ALL SIZES),EACH,56
793-15.02,TRANSFER DROP ATTACHMENT,EACH,56
793-07.04,48 FIBER(MATERIAL ONLY),L.F.,56
730-25.11,CANTILEVER SIGNAL SUPPORT (1 ARM @ 60),EACH,56
604-10.69,PRESTRESSING STRAND SPLICE,EACH,56
202-06.08,REMOVAL OF BUILDINGS (TRACT NO.),LS,56
611-14.04,"CATCH BASINS, TYPE 14, > 12 - 16 DEPTH",EACH,56
793-98.09,REMOVE DOWN GUY,EACH,56
209-01.31,TEMPORARY MULCH FILTER BERM,C.Y.,55
791-06.10,CONNECT TO 2IN EX. STL MAIN,EACH,55
712-12.10,TEMP CURB W/FLEXIBLE DELINEATORS,m,55
415-01.03,COLD PLANING BITUMINOUS PAVEMENT,C.Y.,55
793-11.10,12IN PEDESTAL,EACH,55
802-11.19,LIRIODENDRON TULIPIFERA (TULIP POPLAR 2-5FT CNTNR GRWN),EACH,55
607-06.05,30 CONCRETE PIPE CULVERT(CLASS IV)JACKED-IN-PLACE,L.F.,55
203-03.01,BORROW EXCAVATION (SELECT MATERIAL),C.Y.,55
791-09.04,REGULATOR STATION,EACH,55
619-01.00,BRIDGE DECK OVERLAY (PMC),S.Y.,55
730-23.28,PEDESTAL POLE (TYPE A),EACH,55
716-05.71,PERFORMANCE BASED RETRACING PAINTED 8IN LINE,L.F.,55
712-04.10,TEMPORARY FLEXIBLE TUBULAR DELINEATOR,EACH,55
790-23.07,2PH CROSSARM CONST DEADEND (SGL) 15KV,EACH,55
712-10.02,TEMPORARY TRANSVERSE RUMBLE STRIPS,L.F.,55
797-11.42,RESTORE GRAVEL,S.Y.,54
791-06.09,CONNECT TO __IN EX. PE MAIN,EACH,54
604-10.24,JACKING CONCRETE SPANS,LS,54
705-08.22,IMPACT ATTENUATOR (TAU-II WIDE),EACH,54
795-05.67,BORE/JACK 20IN STEEL CASING PIPE-UNCON.,L.F.,54
604-10.07,CONCRETE REMOVAL,LS,54
791-07.12,8IN STEEL GAS VALVE ASSEMBLY,EACH,54
713-30.08,BARRIER MOUNTED PERFORATED/KNOCKOUT SIGN SUPPORT,LB.,54
705-20.30,"BELT NOSEPIECE, YELLOW, 24-36 (QGE, QGEM)",EACH,54
705-20.31,"BELT NOSEPIECE, YELLOW, 69-90  (QGE, QGEM)",EACH,54
791-08.05,2IN SERVICE ASSEMBLY,EACH,54
713-16.90,RESET GROUND MOUNTED SIGN,EACH,54
615-02.04,PRESTRESSED CONCRETE BOX BEAM (27 X 36),L.F.,54
713-16.04,CHANGEABLE MESSAGE SIGN UNIT  (DESCRIPT),EACH,54
714-03.03,DIRECT BURIAL CONDUIT (DESCRIPTION),L.F.,54
705-11.08,GUARDRAIL TERMINAL (TYPE 13) (POWDER COATED),EACH,54
714-01.02,STRUCTURAL LIGHTING (BRIDGE NO.),LS,54
790-68.11,DEAD END SHOE,EACH,54
793-14.21,ROD DUCTS,L.F.,54
705-17.93,IMPACT ATTENUATOR (WIDETRACC 2005),EACH,54
791-08.12,3/4IN STEEL SERVICE PIPE,L.F.,54
791-08.40,RECONNECT SERVICE ASSEMBLY,EACH,54
705-15.66,QUADGUARD II IMPACT ATTENUATOR (WIDE),EACH,54
725-21.07,PORTABLE SMART WORK ZONE SYSTEM,DAY,54
604-10.45,EXPANSION JOINT REPAIRS (TYPE F),L.F.,54
725-21.02,DYNAMIC MESSAGE SIGN (MULTI-COLOR),EACH,54
793-14.26,UNDERGROUND TO OVERHEAD RISER,EACH,53
502-10.00,CEMENT-FLY ASH GROUT,C.F.,53
790-69.06,HARDWARE FOR SGL PH CONV TRANS,EACH,53
203-10.15,WASTE MATERIAL,C.Y.,53
725-22.72,2IN CONDUIT BORED,L.F.,53
790-07.07,POLE 60FT CLASS H1 METAL,EACH,53
797-10.05,CONNECT 4IN LATERAL TO SEWER LINE,EACH,53
790-40.39,OH COND 4/0 7 AAC OXLIP,L.F.,53
604-10.89,MISCELLANEOUS BRIDGE ITEMS (Description),LS,53
730-03.11,INSTALL SPLICE BOX (DESCRIPTION),EACH,53
795-01.14,16IN DIP SLIP JOINT WATER LINE,L.F.,53
725-21.91,RADAR DETECTION SYSTEM,EACH,53
202-02.24,REMOVAL OF PIPE (DESCRIPTION),L.F.,53
712-09.09,REMOVABLE PAVEMENT MARKING (4 line),L.F.,53
502-02.00,HOLES,EACH,53
790-05.08,POLE 50FT CLASS H2 METAL,EACH,53
625-02.43,CONCRETE CORING,V.F.,53
209-03.37,STREAM MITIGATION CROSS VANE STRUCTURE,EACH,53
502-08.00,PRE-ROLLING,S.Y.,53
