item_no,description,unit
607-57.02,REINFORCED CONCRETE PIPE ARCH (29 X 18),L.F.
607-57.03,REINFORCED CONCRETE PIPE ARCH (36 X 23),L.F.
607-57.04,REINFORCED CONCRETE PIPE ARCH (44 X 27),L.F.
607-57.06,REINFORCED CONCRETE PIPE ARCH (58 X 36),L.F.
607-60.13,30 STEEL PIPE CULVERT (JACK-IN-PLACE),L.F.
607-60.14,42 STEEL PIPE CULVERT (JACK-IN-PLACE),L.F.
607-60.18,36 STEEL PIPE CULVERT (JACK-IN-PLACE),L.F.
607-65.19,SITE PREPARATION,LS
607-65.20,SITE PREPARATION,EACH
607-65.62,12 MINIMUM ID PIPE TO SLIP LINE 15 PIPE,L.F.
607-65.63,15 MINIMUM ID PIPE TO SLIP LINE 18 PIPE,L.F.
607-65.64,18 MINIMUM ID PIPE TO SLIP LINE 24 PIPE,L.F.
607-65.65,24 MINIMUM ID PIPE TO SLIP LINE 30 PIPE,L.F.
607-65.66,30 MINIMUM ID PIPE TO SLIP LINE 36 PIPE,L.F.
607-65.67,33 MINIMUM ID PIPE TO SLIP LINE 42 PIPE,L.F.
607-65.68,36 MINIMUM ID PIPE TO SLIP LINE 48 PIPE,L.F.
607-65.69,42 MINIMUM ID PIPE TO SLIP LINE 54 PIPE,L.F.
607-65.71,60 MINIMUM ID PIPE TO SLIP LINE 72 PIPE,L.F.
607-65.76,42 MINIMUM ID PIPE TO SLIP LINE 60 PIPE,L.F.
607-65.78,54IN MIN I.D. to SLIP LINE 60IN CMP,L.F.
607-65.79,54MINIMUM ID PIPE TO SLIP LINE 72PIPE,L.F.
607-65.80,60IN MIN ID PIPE TO SLIP LINE 66IN PIPE,L.F.
607-65.81,60X47IN MIN ID PIPE TO SLIP LINE 70X50IN PIPE,L.F.
607-65.89,10.75 OD PIPE TO SLIP LINE 12 PIPE,L.F.
607-65.90,12.75 OD PIPE TO SLIP LINE 16 PIPE,L.F.
607-65.91,16 OD PIPE TO SLIP LINE 18 PIPE,L.F.
607-65.92,20 OD PIPE TO SLIP LINE 24 PIPE,L.F.
607-65.93,28 OD PIPE TO SLIP LINE 32 PIPE,L.F.
607-65.94,32 OD PIPE TO SLIP LINE 36 PIPE,L.F.
607-65.95,36 OD PIPE TO SLIP LINE 42 PIPE,L.F.
607-65.96,48 OD PIPE TO SLIP LINE 54 PIPE,L.F.
607-66.01,PORTLAND CEMENT 94 LB BAG,EACH
607-67.11,24 FOLDED PVC PIPE LINER,L.F.
607-67.13,36 FOLDED PVC PIPE LINER,L.F.
610-07.01,12 PIPE DRAIN (BRIDGE DRAIN),L.F.
610-07.03,18 PIPE DRAIN (BRIDGE DRAIN),L.F.
610-10.04,DRAINAGE SYSTEM - BRIDGE DECK(DESCRIPTION),LS
610-10.14,DRAINAGE SYSTEM - BRIDGE DECK(DESCRIPTION),LS
610-10.35,MODIFY BRIDGE DECK DRAIN SYSTEM,LS
610-10.40,BRIDGE DECK DRAINS,LS
610-10.41,BRIDGE DECK DRAINS,LS
610-10.45,DECK DRAINS (DESCRIPTION),EACH
610-10.46,DECK DRAINS (DESCRIPTION),EACH
610-10.50,DESIGN-BUILD DRAINAGE,LS
610-11.03,PLASTIC PIPE DRAINS (8),L.F.
610-11.05,PLASTIC PIPE DRAINS (12),L.F.
610-12.01,HORIZONTAL DRAINS AND CASING,L.F.
610-12.02,HORIZONTAL DRAINS,L.F.
610-12.03,HORIZONTAL DRAIN OUTLET,EACH
611-01.01,"MANHOLES, 0 - 4 DEPTH",EACH
611-01.02,"MANHOLES, > 4 - 8 DEPTH",EACH
611-01.03,"MANHOLES, > 8 - 12 DEPTH",EACH
611-01.04,"MANHOLES, > 12 - 16 DEPTH",EACH
611-01.05,"MANHOLES, > 16 - 20 DEPTH",EACH
611-01.06,"MANHOLES, > 20 - 24 DEPTH",EACH
611-01.07,"MANHOLES, > 24 - 28 DEPTH",EACH
611-01.08,"MANHOLES, > 28 - 32 DEPTH",EACH
611-01.10,"MANHOLES,(__m - __m DEPTH)",EACH
611-01.11,"MANHOLES,(__m - __m DEPTH)",EACH
611-01.12,"MANHOLES,( __ - __ DEPTH)",EACH
611-01.13,"MANHOLES,( __ - __ DEPTH)",EACH
611-01.20,ADJUSTMENT OF EXISTING MANHOLE,EACH
611-01.21,REWORK MANHOLE,EACH
611-01.22,CAPPING EXISTING MANHOLE,EACH
611-01.23,ADJUSTMENT OF WATER VALVE,EACH
611-02.01,"SPRING DRAIN BOX, TYPE 1",EACH
611-02.02,"SPRING DRAIN BOX, TYPE 2A",EACH
611-02.04,"SPRING DRAIN BOX, TYPE 3A",EACH
611-02.10,"JUNCTION BOX, TYPE 1",EACH
611-02.11,"JUNCTION BOX, TYPE 2",EACH
611-02.12,"JUNCTION BOX, TYPE 3",EACH
611-02.13,"JUNCTION BOX, TYPE 4",EACH
611-02.14,"JUNCTION BOX, TYPE 5",EACH
611-02.15,"JUNCTION BOX, TYPE 6",EACH
611-02.16,JUNCTION BOX (DESCRIPTION),EACH
611-02.42,60IN ROUND JUNCTION BOX,EACH
611-02.43,72IN ROUND JUNCTION BOX,EACH
611-03.04,GRAY IRON CASTINGS (CATCHBASIN),LB.
611-04.40,ADJUSTMENT OF EXISTING BRIDGE DRAIN,EACH
611-05.01,TRENCH DRAINS,L.F.
611-05.02,12IN PVC PIPE FOR TRENCH DRAINS,L.F.
611-05.99,CURB CUT TRENCH GRATE,EACH
611-06.10,BRIDGE END DRAIN (2 X 3),EACH
611-06.13,BRIDGE END DRAIN (SIZE),EACH
611-07.01,CLASS A CONCRETE (PIPE ENDWALLS),C.Y.
611-07.02,STEEL BAR REINFORCEMENT (PIPE ENDWALLS),LB.
611-07.03,STRUCTURAL STEEL (PIPE ENDWALLS),LB.
611-07.05,CLASS A CONCRETE (DISSIPATOR),C.Y.
611-07.06,STEEL BAR REINFORCEMENT (DISSIPATOR),LB.
611-07.10,CLEAN DRAIN (TRENCH DRAIN),L.F.
611-07.11,CLEAN DRAIN(WITH GRATE),EACH
611-07.12,CLEAN DRAIN(WALL DRAIN),EACH
611-07.13,PIPE CLEANING (<18IN DIA.),L.F.
611-07.14,PIPE CLEANING (>OR=18IN DIA.),L.F.
611-07.16,PIPE CLEANING (18IN TO 24IN),L.F.
611-07.17,PIPE CLEANING (>24IN TO 36IN),L.F.
611-07.18,PIPE CLEANING (>36IN TO 42IN),L.F.
611-07.19,PIPE CLEANING (>42IN TO 60IN),L.F.
611-07.20,HEAVY DRAIN CLEANING,EACH
611-07.30,15IN ENDWALL (SIDE DRAIN),EACH
611-07.31,18IN ENDWALL (SIDE DRAIN),EACH
611-07.32,24IN ENDWALL (SIDE DRAIN),EACH
611-07.33,30IN ENDWALL (SIDE DRAIN),EACH
611-07.34,36IN ENDWALL (SIDE DRAIN),EACH
611-07.35,42IN ENDWALL (SIDE DRAIN),EACH
611-07.36,48IN ENDWALL (SIDE DRAIN),EACH
611-07.51,15IN ENDWALL (CROSS DRAIN) 3:1,EACH
611-07.52,15IN ENDWALL (CROSS DRAIN) 4:1,EACH
611-07.53,15IN ENDWALL (CROSS DRAIN) 6:1,EACH
611-07.54,18IN ENDWALL (CROSS DRAIN) 3:1,EACH
611-07.55,18IN ENDWALL (CROSS DRAIN) 4:1,EACH
611-07.56,18IN ENDWALL (CROSS DRAIN) 6:1,EACH
611-07.57,24IN ENDWALL (CROSS DRAIN) 3:1,EACH
611-07.58,24IN ENDWALL (CROSS DRAIN) 4:1,EACH
611-07.59,24IN ENDWALL (CROSS DRAIN) 6:1,EACH
611-07.60,30IN ENDWALL (CROSS DRAIN) 3:1,EACH
611-07.61,30IN ENDWALL (CROSS DRAIN) 4:1,EACH
611-07.62,30IN ENDWALL (CROSS DRAIN) 6:1,EACH
611-07.63,36IN ENDWALL (CROSS DRAIN) 3:1,EACH
611-07.64,36IN ENDWALL (CROSS DRAIN) 4:1,EACH
611-07.65,36IN ENDWALL (CROSS DRAIN) 6:1,EACH
611-07.66,42IN ENDWALL (CROSS DRAIN) 3:1,EACH
611-07.67,42IN ENDWALL (CROSS DRAIN) 4:1,EACH
611-07.68,42IN ENDWALL (CROSS DRAIN) 6:1,EACH
611-07.69,48IN ENDWALL (CROSS DRAIN) 3:1,EACH
611-07.70,48IN ENDWALL (CROSS DRAIN) 4:1,EACH
611-07.71,48IN ENDWALL (CROSS DRAIN) 6:1,EACH
611-07.73,18IN ENDWALL (MEDIAN DRAIN),EACH
611-09.01,ADJUSTMENT OF EXISTING CATCHBASIN,EACH
611-09.02,REWORK CATCHBASIN,EACH
611-09.03,CAPPING EXISTING CATCHBASIN,EACH
611-09.04,CATCHBASIN RETROFIT,EACH
611-10.01,"CATCH BASINS, TYPE 10, 0 - 4 DEPTH",EACH
611-10.02,"CATCH BASINS, TYPE 10, > 4 - 8 DEPTH",EACH
611-10.03,"CATCH BASINS, TYPE 10, > 8 - 12 DEPTH",EACH
611-10.04,"CATCH BASINS, TYPE 10, > 12 - 16 DEPTH",EACH
611-12.01,"CATCH BASINS, TYPE 12, 0 - 4 DEPTH",EACH
611-12.02,"CATCH BASINS, TYPE 12, > 4 - 8 DEPTH",EACH
611-12.03,"CATCH BASINS, TYPE 12, > 8 - 12 DEPTH",EACH
611-12.04,"CATCH BASINS, TYPE 12, > 12 - 16 DEPTH",EACH
611-12.05,"CATCH BASINS, TYPE 12, > 16 - 20 DEPTH",EACH
611-12.06,"CATCH BASINS, TYPE 12, > 20 - 24 DEPTH",EACH
611-12.07,"CATCH BASINS, TYPE 12, > 24 - 28 DEPTH",EACH
611-12.08,"CATCH BASINS, TYPE 12, >(   -    DEPTH)",EACH
611-13.01,"CATCH BASINS, TYPE 13, 0 - 4 DEPTH",EACH
611-13.02,"CATCH BASINS, TYPE 13, > 4 - 8 DEPTH",EACH
611-13.03,"CATCH BASINS, TYPE 13, > 8 - 12 DEPTH",EACH
611-14.01,"CATCH BASINS, TYPE 14, 0 - 4 DEPTH",EACH
611-14.02,"CATCH BASINS, TYPE 14, > 4 - 8 DEPTH",EACH
611-14.03,"CATCH BASINS, TYPE 14, > 8 - 12 DEPTH",EACH
611-14.04,"CATCH BASINS, TYPE 14, > 12 - 16 DEPTH",EACH
611-14.05,"CATCH BASINS, TYPE 14, > 16 - 20 DEPTH",EACH
611-14.07,"CATCH BASINS, TYPE 14, > 24 - 28 DEPTH",EACH
611-16.02,"CATCH BASINS, TYPE 16, > 4 - 8 DEPTH",EACH
611-16.03,"CATCH BASINS, TYPE 16, > 8 - 12 DEPTH",EACH
611-16.04,"CATCH BASINS, TYPE 16, > 12 - 16 DEPTH",EACH
611-17.02,"CATCH BASINS, TYPE 17, > 4 - 8 DEPTH",EACH
611-17.05,"CATCH BASINS, TYPE 17, > 16 - 20 DEPTH",EACH
611-25.01,"CATCH BASINS, TYPE 25, 0 - 4 DEPTH",EACH
611-25.02,"CATCH BASINS, TYPE 25, > 4 - 8 DEPTH",EACH
611-25.03,"CATCH BASINS, TYPE 25, > 8 - 12 DEPTH",EACH
611-25.04,"CATCH BASINS, TYPE 25, > 12 - 16 DEPTH",EACH
611-25.05,"CATCH BASINS, TYPE 25, > 16 - 20 DEPTH",EACH
611-25.06,"CATCH BASINS, TYPE 25, > 20 - 24 DEPTH",EACH
611-26.01,"CATCH BASINS, TYPE 26, 0 - 4 DEPTH",EACH
611-26.02,"CATCH BASINS, TYPE 26, > 4 - 8 DEPTH",EACH
611-26.03,"CATCH BASINS, TYPE 26, > 8 - 12 DEPTH",EACH
611-26.04,"CATCH BASINS, TYPE 26, > 12 - 16 DEPTH",EACH
611-27.02,"CATCH BASINS, TYPE 27, > 4 - 8 DEPTH",EACH
611-27.03,"CATCH BASINS, TYPE 27, > 8 - 12 DEPTH",EACH
611-27.05,"CATCH BASINS, TYPE 27, > 16 - 20 DEPTH",EACH
611-28.01,"CATCH BASINS, TYPE 28, 0 - 4 DEPTH",EACH
611-28.02,"CATCH BASINS, TYPE 28, > 4 - 8 DEPTH",EACH
611-28.03,"CATCH BASINS, TYPE 28, > 8 - 12 DEPTH",EACH
611-28.05,"CATCH BASINS, TYPE 28, > 16 - 20 DEPTH",EACH
611-29.02,"CATCH BASINS, TYPE 29, > 4 - 8 DEPTH",EACH
611-31.02,"CATCH BASINS, TYPE 31, > 4 - 8 DEPTH",EACH
611-31.03,"CATCH BASINS, TYPE 31, > 8 - 12 DEPTH",EACH
611-31.04,"CATCH BASINS, TYPE 31, > 12 - 16 DEPTH",EACH
611-31.05,"CATCH BASINS, TYPE 31, > 16 - 20 DEPTH",EACH
611-31.06,"CATCH BASINS, TYPE 31, > 20 - 24 DEPTH",EACH
611-31.07,"CATCH BASINS, TYPE 31, > 24 - 28 DEPTH",EACH
611-32.01,"CATCH BASINS, TYPE 32, > 0 - 4 DEPTH",EACH
611-32.02,"CATCH BASINS, TYPE 32, > 4 - 6 DEPTH",EACH
611-38.01,"CATCH BASINS, TYPE 38, 0 - 4 DEPTH",EACH
611-38.02,"CATCH BASINS, TYPE 38, > 4 - 8 DEPTH",EACH
611-38.03,"CATCH BASINS, TYPE 38, > 8 - 12 DEPTH",EACH
611-38.04,"CATCH BASINS, TYPE 38, > 12 - 16 DEPTH",EACH
611-38.05,"CATCH BASINS, TYPE 38, > 16 - 20 DEPTH",EACH
611-38.06,"CATCH BASINS, TYPE 38, > 20 - 24 DEPTH",EACH
611-38.08,"CATCH BASINS, TYPE 38, >(   -    DEPTH)",EACH
611-39.01,"CATCH BASINS, TYPE 39, 0 - 4 DEPTH",EACH
611-39.02,"CATCH BASINS, TYPE 39, > 4 - 8 DEPTH",EACH
611-39.03,"CATCH BASINS, TYPE 39, > 8 - 12 DEPTH",EACH
611-39.04,"CATCH BASINS, TYPE 39, > 12 - 16 DEPTH",EACH
611-39.05,"CATCH BASINS, TYPE 39, > 16 - 20 DEPTH",EACH
611-39.06,"CATCH BASINS, TYPE 39, > 20 - 24 DEPTH",EACH
611-39.07,"CATCH BASINS, TYPE 39, > 24 - 28 DEPTH",EACH
611-40.01,"CATCH BASINS, TYPE 40, 0 - 4 DEPTH",EACH
611-40.02,"CATCH BASINS, TYPE 40, > 4 - 8 DEPTH",EACH
611-40.03,"CATCH BASINS, TYPE 40, > 8 - 12 DEPTH",EACH
611-40.05,"CATCH BASINS, TYPE 40, > 16 - 20 DEPTH",EACH
611-41.01,"CATCH BASINS, TYPE 41, 0 - 4 DEPTH",EACH
611-41.02,"CATCH BASINS, TYPE 41, > 4 - 8 DEPTH",EACH
611-41.03,"CATCH BASINS, TYPE 41, > 8 - 12 DEPTH",EACH
611-41.04,"CATCH BASINS, TYPE 41, > 12 - 16 DEPTH",EACH
611-41.05,"CATCH BASINS, TYPE 41, > 16 - 20 DEPTH",EACH
611-41.08,"CATCH BASINS, TYPE 41, >(   -    DEPTH)",EACH
611-42.01,"CATCH BASINS, TYPE 42, 0 - 4 DEPTH",EACH
611-42.02,"CATCH BASINS, TYPE 42, > 4 - 8 DEPTH",EACH
611-42.03,"CATCH BASINS, TYPE 42, > 8 - 12 DEPTH",EACH
611-42.04,"CATCH BASINS, TYPE 42, > 12 - 16 DEPTH",EACH
611-42.05,"CATCH BASINS, TYPE 42, > 16 - 20 DEPTH",EACH
611-42.06,"CATCH BASINS, TYPE 42, > 5m - 6m DEPTH",EACH
611-42.07,"CATCH BASINS, TYPE 42, > 24 - 28 DEPTH",EACH
611-42.08,"CATCH BASINS, TYPE 42, > 7m - 8m DEPTH",EACH
611-43.01,"CATCH BASINS, TYPE 43, 0 - 4 DEPTH",EACH
611-43.02,"CATCH BASINS, TYPE 43, > 4 - 8 DEPTH",EACH
611-43.03,"CATCH BASINS, TYPE 43, > 8 - 12 DEPTH",EACH
611-43.04,"CATCH BASINS, TYPE 43, > 12 - 16 DEPTH",EACH
611-43.05,"CATCH BASINS, TYPE 43, > 16 - 20 DEPTH",EACH
611-44.02,"CATCH BASINS, TYPE 44, > 4 - 8 DEPTH",EACH
611-44.03,"CATCH BASINS, TYPE 44, > 8 - 12 DEPTH",EACH
611-44.04,"CATCH BASINS, TYPE 44, > 12 - 16 DEPTH",EACH
611-44.07,"CATCH BASINS, TYPE 44, > 6m - 7m DEPTH",EACH
611-44.09,"CATCH BASINS, TYPE 44, > 8m - 9m DEPTH",EACH
611-45.01,"CATCH BASINS, TYPE 45, 0 - 4 DEPTH",EACH
611-45.02,"CATCH BASINS, TYPE 45, > 4 - 8 DEPTH",EACH
611-45.03,"CATCH BASINS, TYPE 45, > 2m - 3m DEPTH",EACH
611-45.04,"CATCH BASINS, TYPE 45, > 12 - 16 DEPTH",EACH
611-46.02,"CATCH BASINS, TYPE 46, > 4 - 8 DEPTH",EACH
611-46.03,"CATCH BASINS, TYPE 46, > 8 - 12 DEPTH",EACH
611-51.01,"CATCH BASINS, TYPE 51, 0 - 4 DEPTH",EACH
611-51.02,"CATCH BASINS, TYPE 51, > 4 - 8 DEPTH",EACH
611-51.03,"CATCH BASINS, TYPE 51, > 8 - 12 DEPTH",EACH
611-51.04,"CATCH BASINS, TYPE 51, > 12 - 16 DEPTH",EACH
611-51.05,"CATCH BASINS, TYPE 51, > 16 - 20 DEPTH",EACH
611-51.06,"CATCH BASINS, TYPE 51, > 20 - 24 DEPTH",EACH
611-51.07,"CATCH BASINS, TYPE 51, > 24 - 28 DEPTH",EACH
611-52.02,"CATCH BASINS, TYPE 52, > 4FT - 8FT DEPTH",EACH
611-52.03,"CATCH BASINS, TYPE 52, > 8FT - 12FT DEPTH",EACH
611-60.01,"CATCH BASIN, 48IN ROUND,> 4FT-8FT DEPTH",EACH
611-60.10,"CATCH BASIN, 60IN ROUND,> 4FT-8FT DEPTH",EACH
611-60.30,"CATCH BASIN, 84IN ROUND,> 4FT-8FT DEPTH",EACH
611-60.31,"CATCH BASIN, 84IN ROUND,> 8FT-12FT DEPTH",EACH
611-60.32,"CATCH BASIN, 84IN ROUND,> 12FT-16FT DEPTH",EACH
611-60.40,"CATCH BASIN, 96IN ROUND,> 4FT-8FT DEPTH",EACH
611-62.01,"MANHOLE STRUCTURE, 48IN ROUND,> 4FT-8FT DEPTH",EACH
611-62.11,"MANHOLE STRUCTURE, 60IN ROUND,> 8FT-12FT DEPTH",EACH
611-63.01,"JUNCTION STRUCTURE, 48IN ROUND,> 4FT-8FT DEPTH",EACH
611-63.31,"JUNCTION STRUCTURE, 84IN ROUND,> ( FT DEPTH)",EACH
611-63.51,"JUNCTION STRUCTURE, 108IN ROUND,> ( FT DEPTH)",EACH
611-70.01,CATCH BASIN TYPE B,EACH
611-70.02,CATCH BASIN TYPE C,EACH
611-70.03,CATCH BASIN TYPE E,EACH
611-80.01,MISC DRAINAGE STRUCTURES,MNTH
611-90.01,"CATCH BASINS, (TYPE __,   __ DEPTH)",EACH
611-90.20,INLETS,MNTH
612-01.00,UNIFORM-COURSE STONE MASONRY,C.Y.
612-04.02,RELOCATE DECORATIVE STONE COLUMNS,LS
612-05.00,RUSTIC STONE MASONRY,S.F.
612-06.01,REPOINTING OF STONE MASONRY JOINTS,L.F.
615-01.01,PRESTRESSED CONCRETE I-BEAM (TYPE I),L.F.
615-01.02,PRESTRESSED CONCRETE I-BEAM (TYPE II),L.F.
615-01.03,PRESTRESSED CONCRETE I-BEAM (TYPE III),L.F.
615-01.04,PRESTRESSED CONCRETE I-BEAM (TYPE IV),L.F.
615-01.10,PRESTRESSED CONCRETE BULB TEE BEAM (6 WEB)(BT-54),L.F.
615-01.11,PRESTRESSED CONCRETE BULB TEE BEAM (6 WEB)(BT-63),L.F.
615-01.12,PRESTRESSED CONCRETE BULB TEE BEAM (6 WEB)(BT-72),L.F.
615-01.14,PRESTRESSED CONCRETE BULB TEE BEAM (8 WEB)(BT-63),L.F.
615-01.17,SHPNG-HNDLNG-ERECTION BRIDGE BEAMS ( ),LS
615-01.31,PRESTRESSED CONCRETE WIDE BULB TEE BEAM (WBT-54),L.F.
615-01.32,PRESTRESSED CONCRETE WIDE BULB TEE BEAM (WBT-66),L.F.
615-02.02,PRESTRESSED CONCRETE BOX BEAM (17 X 36),L.F.
615-02.03,PRESTRESSED CONCRETE BOX BEAM (21 X 36),L.F.
615-02.04,PRESTRESSED CONCRETE BOX BEAM (27 X 36),L.F.
615-02.05,PRESTRESSED CONCRETE BOX BEAM (33 X 36),L.F.
615-02.06,PRESTRESSED CONCRETE BOX BEAM (42 X 36),L.F.
615-02.10,PRESTRESSED CONCRETE BOX BEAM (27 X 48),L.F.
615-02.11,PRESTRESSED CONCRETE BOX BEAM (33 X 48),L.F.
615-02.12,PRESTRESSED CONCRETE BOX BEAM (42 X 48),L.F.
615-02.14,PRESTRESSED CONCRETE BOX BEAM (48 X 48),L.F.
615-02.17,PRESTRESSED CONCRETE BOX BEAM (36 X 36),L.F.
615-02.18,PRESTRESSED CONCRETE BOX BEAM (36 X 48),L.F.
615-02.19,PRESTRESSED CONCRETE BOX BEAM (24 X 36),L.F.
615-02.20,PRESTRESSED CONCRETE BOX BEAM (45 X 36),L.F.
615-02.21,PRESTRESSED CONCRETE BOX BEAM (39 X 36),L.F.
615-02.22,PRESTRESSED CONCRETE BOX BEAM (18 X 36),L.F.
615-02.25,PRESTRESSED CONCRETE BOX BEAM (39 X 48),L.F.
615-02.28,PRESTRESSED CONCRETE BOX BEAM (24 X 48),L.F.
615-02.31,PRESTRESSED CONCRETE BOX BEAM (30 X 48),L.F.
615-02.37,PRESTRESSED CONCRETE BOX BEAM (30 X 36),L.F.
615-02.43,PRESTRESSED CONCRETE BOX BEAM (15 X 36),L.F.
615-02.44,PRESTRESSED CONCRETE BOX BEAM (15 X 48),L.F.
615-02.52,PRESTRESSED CONCRETE BOX BEAM (-- X --),L.F.
615-02.75,PRESTRESSED CONCRETE BEAM (SIZE - DESCRIPTION),L.F.
615-03.03,CONCRETE CHANNEL (17 X 42),L.F.
615-04.01,FULL DEPTH PRCST/PRSTRSSD TYPE I DECK PANELS,S.Y.
615-04.03,"PRECAST DECK PANEL (5,000 PSI)",C.Y.
615-04.04,FULL DEPTH PRECAST DECK PANEL (5000 PSI),S.Y.
615-04.05,PARTIAL DEPTH PRECAST DECK PANEL,S.Y.
615-04.10,NON-SHRINK GROUT,C.F.
615-04.11,EPOXY GROUT,C.F.
615-04.12,GROUT INSTALLATION MOCK-UP,LS
615-04.30,PRECAST BRIDGE ABUTMENT WALL,C.Y.
615-04.31,PRECAST BRIDGE ABUTMENT WINGWALL,C.Y.
615-04.32,PRECAST BRIDGE ABUTMENT BEAM,C.Y.
615-04.40,PRECAST BRIDGE CAP BEAM,C.Y.
615-04.99,"FULL DEPTH PRECAST DECK PANEL (5000 PSI)(MATL ONLY 4,750 SY)",LS
615-05.00,POST-TENSIONING (DESCRIPTION),LS
617-01.00,BRIDGE DECK SEALANT,S.Y.
617-02.00,BRIDGE DECK CRACK SEALING,L.F.
617-03.00,BRIDGE DECK CRACK SEALING,GAL.
617-04.01,TYPE 1 THIN EPOXY OVERLAY (EPOXY-URETHANE),S.Y.
617-04.02,TYPE 2 THIN EPOXY OVERLAY (LOW-MOD EPOXY),S.Y.
617-04.04,TYPE 2 EPOXY BINDER (LOW-MOD EPOXY),GAL.
617-04.05,AGGREGATE FOR EPOXY OVERLAY,LB.
617-04.06,BRIDGE DECK PREP FOR EPOXY OVERLAY,S.Y.
617-05.00,SEALANT (DESCRIPTION),GAL.
619-01.00,BRIDGE DECK OVERLAY (PMC),S.Y.
619-01.35,BRIDGE DECK OVERLAY (PMC),C.Y.
620-01.00,ALUMINUM RAILING (DESCRIPTION),L.F.
620-02.00,STEEL RAILING (DESCRIPTION),L.F.
620-03.00,CONCRETE PARAPET (DESCRIPTION),L.F.
620-03.10,CONCRETE PARAPET (DESCRIPTION),L.F.
620-03.11,CONCRETE PARAPET (DESCRIPTION),L.F.
620-05.00,CONCRETE PARAPET WITH STRUCTURAL TUBING,L.F.
620-05.01,CONC PARAPET SINGLE SLOPE (STD-1-1SS),L.F.
620-05.02,STANDARD CONCRETE CLASSIC PARAPET RAIL,L.F.
620-05.03,CONC PARAPET SINGLE SLOPE(MOD STD-1-1SS),L.F.
620-05.10,CONCRETE PARAPET CURVED WALL (<=TO 40MPH),L.F.
620-06.00,CONCRETE RAILING,L.F.
620-08.00,CONCRETE PARAPET WITH STRUCTURAL TUBING,L.F.
620-09.00,REMOVAL & REPLACEMENT OF EXISTING BRIDGE RAIL,L.F.
620-10.00,CONCRETE PARAPET WITH PEDESTRIAN RAILING,L.F.
620-10.01,CONCRETE PARAPET (BRIDGERAIL REPLACEMENT),L.F.
620-10.11,BEARING DEVICE,EACH
620-12.00,STRUCTURAL TUBING,L.F.
620-15.00,HANDRAIL ASSEMBLY (DESCRIPTION),L.F.
621-01.01,TEMPORARY STRUCTURE (DESCRIPTION - STATION),LS
621-01.02,TEMPORARY STRUCTURE (DESCRIPTION - STATION),LS
621-01.03,TEMPORARY STRUCTURE (DESCRIPTION - STATION),LS
621-01.04,TEMPORARY STRUCTURE (DESCRIPTION - STATION),LS
621-03.01,15 TEMPORARY DRAINAGE PIPE,L.F.
621-03.02,18 TEMPORARY DRAINAGE PIPE,L.F.
621-03.03,24 TEMPORARY DRAINAGE PIPE,L.F.
621-03.04,30 TEMPORARY DRAINAGE PIPE,L.F.
621-03.05,36 TEMPORARY DRAINAGE PIPE,L.F.
621-03.06,42 TEMPORARY DRAINAGE PIPE,L.F.
621-03.07,48 TEMPORARY DRAINAGE PIPE,L.F.
621-03.08,54 TEMPORARY DRAINAGE PIPE,L.F.
621-03.09,60 TEMPORARY DRAINAGE PIPE,L.F.
621-03.10,66 TEMPORARY DRAINAGE PIPE,L.F.
621-03.11,72 TEMPORARY DRAINAGE PIPE,L.F.
621-03.12,TEMPORARY DRAINAGE PIPE ARCH (DESCRIPTION),L.F.
621-03.13,TEMPORARY DRAINAGE PIPE ARCH (DESCRIPTION),L.F.
621-05.01,TEMPORARY SHORING,S.F.
621-05.02,TEMPORARY SHORING,LS
621-05.03,TEMPORARY SHORING,LS
621-05.10,TEMPORARY SHORING (DESCRIPTION),LS
621-05.11,TEMPORARY SHORING (DESCRIPTION),LS
621-05.12,TEMPORARY SHORING (DESCRIPTION),LS
621-05.13,TEMPORARY SHORING (DESCRIPTION),LS
621-05.14,TEMPORARY SHORING (DESCRIPTION),LS
622-01.00,PNEUMATICALLY PLACED CONCRETE,S.F.
622-01.01,SHOTCRETE BUTTRESS,C.Y.
622-01.02,STEEL REINFORCEMENT- SHOTCRETE BUTTRESS,LB.
622-01.04,SHOTCRETE 4 IN THICKNESS,S.F.
622-01.05,SHOTCRETE 6 IN THICKNESS,S.F.
622-01.06,SHOTCRETE 12 IN THICKNESS,S.F.
622-01.07,SHOTCRETE 8 IN THICKNESS,S.F.
622-01.20,SHOTCRETE ARCHITECTURAL FACING,S.F.
622-02.01,STEEL MESH & PLATES,S.F.
624-01.01,LOAD CELLS,EACH
624-03.01,RETAINING WALL REINFORCING STEEL,LB.
625-01.07,PIEZOMETER,L.F.
625-01.08,INCLINOMETER,L.F.
625-01.10,CAMERA INSPECTION - DRILLED SHAFT (DRY),EACH
625-01.11,CAMERA INSPECTION - DRILLED SHAFT (UNDERWATER),EACH
625-02.01,DRILLED SHAFT-SOIL (DIA.),V.F.
625-02.02,DRILLED SHAFT-SOIL (DIA.),V.F.
625-02.03,DRILLED SHAFT-SOIL (DIA.),V.F.
625-02.13,DRILLED SHAFT-ROCK (DIA.),V.F.
625-02.14,DRILLED SHAFT-ROCK (DIA.),V.F.
625-02.15,DRILLED SHAFT-ROCK (DIA.),V.F.
625-02.16,DRILLED SHAFT-ROCK (DIA.),V.F.
625-02.25,DRILLED SHAFT CASING-PERMANENT (DIA.),V.F.
625-02.26,DRILLED SHAFT CASING-PERMANENT (DIA.),V.F.
