contract_number,work_type,project_description,county,Proposal ID,Category Description,Primary County,Letting Date,tdot_work_type,match
CNV712,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"CARTER, JOHNSON, SULLIVAN, UNICOI, AND WASHINGTON",CNV712,MAINTENANCE,CARTER,20211105,Maintenance,True
CNV711,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"CANNON, VAN BUREN, AND WARREN",CNV711,MAINTENANCE,CANNON,20211105,Maintenance,True
CNV710,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"CAMPBELL, CLAIBORNE, MORGAN, AND SCOTT",CNV710,MAINTENANCE,CAMPBELL,20211105,Maintenance,True
CNX701,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,BLOUNT AND KNOX,CNX701,MAINTENANCE,BLOUNT,20231103,Maintenance,True
CNV709,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"BRADLEY, MCMINN, MEIGS, AND POLK",CNV709,MAINTENANCE,MEIGS,20211105,Maintenance,True
CNV714,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"CHESTER, HARDEMAN, HARDIN, AND MCNAIRY",CNV714,MAINTENANCE,CHESTER,20211105,Maintenance,True
CNY715,Maintenance,THE MOWING ON VARIOUS INTERSTATE AND STATE ROUTES.,"DYER, GIBSON, LAKE, AND OBION",CNY715,MAINTENANCE,DYER,20241101,Maintenance,True
CNY717,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,"FAYETTE, LAUDERDALE, AND TIPTON",CNY717,MAINTENANCE,FAYETTE,20241101,Maintenance,True
CNY718,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"GREENE, HAMBLEN, HANCOCK, AND HAWKINS",CNY718,MAINTENANCE,GREENE,20241101,Maintenance,True
CNR908,Maintenance,THE MOWING ON VARIOUS INTERSTATE AND STATE ROUTES.,DAVIDSON AND WILLIAMSON,CNR908,MAINTENANCE,DAVIDSON,20170310,Maintenance,True
CNR917,Maintenance,THE MOWING ON VARIOUS STATE ROUTES.,"COCKE, HAMBLEN, JEFFERSON, AND SEVIER",CNR917,MAINTENANCE,COCKE,20170310,Maintenance,True
CNX708,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"CANNON, VAN BUREN, AND WARREN",CNX708,MAINTENANCE,CANNON,20231103,Maintenance,True
CNR265,Maintenance,THE FENCE REPAIR ON VARIOUS INTERSTATE AND STATE ROUTES.,"BENTON, CARROLL, DYER, FAYETTE, HAYWOOD, LAUDERDALE, MADISON, MCNAIRY, OBION, SHELBY, TIPTON, AND WEAKLEY",CNR265,MAINTENANCE,BENTON,20170818,Maintenance,True
CNX704,Maintenance,"R1SVAR-M3-037,n/a,R1SVAR-M3-036 THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.","CARTER, JOHNSON, SULLIVAN, UNICOI, AND WASHINGTON",CNX704,MAINTENANCE,CARTER,20231103,Maintenance,True
CNR160,Maintenance,THE TUNNEL CLEANING ON THE HENLEY STREET CONNECTOR TUNNEL ON S.R. 1 AND THE SMARTFIX TUNNEL ON S.R. 158 (JAMES WHITE PARKWAY).,KNOX,CNR160,MAINTENANCE,KNOX,20170512,Maintenance,True
CNR223,Maintenance,"THE TUNNEL CLEANING OF THE MCCALLIE TUNNEL ON U.S.11 (U.S. 64, S.R. 2), THE STRINGERS RIDGE TUNNEL ON U.S. 127 (S.R. 8), AND THE BACHMAN TUBES ON U.S. 41 (U.S. 76, S.R. 8).",HAMILTON,CNR223,MAINTENANCE,HAMILTON,20170512,Maintenance,True
CNR911,Maintenance,THE MOWING ON VARIOUS INTERSTATE AND STATE ROUTES.,"FAYETTE, LAUDERDALE, SHELBY, AND TIPTON",CNR911,MAINTENANCE,FAYETTE,20170310,Maintenance,True
CNR161,Maintenance,THE TUNNEL CLEANING OF THE THOMPSON LANE UNDERPASS ON S.R. 155.,DAVIDSON,CNR161,MAINTENANCE,DAVIDSON,20170512,Maintenance,True
CNR952,Maintenance,THE MOWING ON VARIOUS STATE ROUTES.,"HOUSTON, MONTGOMERY, AND STEWART",CNR952,MAINTENANCE,HOUSTON,20171208,Maintenance,True
CNR951,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"HAMILTON, MEIGS, AND RHEA",CNR951,MAINTENANCE,HAMILTON,20171208,Maintenance,True
CNR948,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE ROUTES.,"COFFEE, GRUNDY, HAMILTON, AND MARION",CNR948,MAINTENANCE,COFFEE,20171208,Maintenance,True
CNR946,Maintenance,THE MOWING ON VARIOUS STATE ROUTES.,"BLOUNT, LOUDON, MONROE, AND ROANE",CNR946,MAINTENANCE,BLOUNT,20171208,Maintenance,True
CNR945,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE ROUTES.,"BEDFORD, RUTHERFORD, WILLIAMSON, AND WILSON",CNR945,MAINTENANCE,BEDFORD,20171208,Maintenance,True
CNN376,Maintenance,THE SWEEPING AND DRAIN CLEANING ON VARIOUS INTERSTATE AND STATE ROUTES.,"BENTON, CARROLL, CHESTER, CROCKETT, DECATUR, DYER, FAYETTE, GIBSON, HARDIN, HAYWOOD, HENDERSON, HENRY,
MADISON, MCNAIRY, OBION, SHELBY, AND WEAKLEY",CNN376,MAINTENANCE,BENTON,20141205,Maintenance,True
CNN740,Maintenance,THE MOWING ON VARIOUS STATE ROUTES.,WILLIAMSON,CNN740,MAINTENANCE,WILLIAMSON,20141114,Maintenance,True
CNX715,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,CHEATHAM AND ROBERTSON,CNX715,MAINTENANCE,CHEATHAM,20231103,Maintenance,True
CNV721,Maintenance,THE MOWING AND LITTER REMOVAL ON I-440.,DAVIDSON,CNV721,MAINTENANCE,DAVIDSON,20211105,Maintenance,True
CNV297,Maintenance,THE SWEEPING AND DRAIN CLEANING ON VARIOUS INTERSTATE AND STATE ROUTES.,"ANDERSON, BLOUNT, CAMPBELL, COCKE, GRAINGER, JEFFERSON, KNOX, LOUDON, MONROE, ROANE, AND SEVIER",CNV297,MAINTENANCE,ANDERSON,20211008,Maintenance,True
CNV164,Maintenance,THE TUNNEL CLEANING ON THE HENLEY STREET CONNECTOR TUNNEL ON S.R. 1 AND THE SMARTFIX TUNNEL ON S.R. 158 (JAMES WHITE PARKWAY).,KNOX,CNV164,MAINTENANCE,KNOX,20210507,Maintenance,True
CNY719,Maintenance,THE MOWING ON VARIOUS STATE ROUTES.,GRUNDY AND MARION,CNY719,MAINTENANCE,GRUNDY,20241101,Maintenance,True
CNY720,Maintenance,THE MOWING ON VARIOUS INTERSTATE AND STATE ROUTES.,HAMILTON,CNY720,MAINTENANCE,HAMILTON,20241101,Maintenance,True
CNY721,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"HOUSTON, MONTGOMERY, AND STEWART",CNY721,MAINTENANCE,HOUSTON,20241101,Maintenance,True
CNY722,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"LEWIS, PERRY, AND WAYNE",CNY722,MAINTENANCE,LEWIS,20241101,Maintenance,True
CNY723,Maintenance,THE MOWING ON VARIOUS STATE ROUTES.,"MACON, SMITH, AND TROUSDALE",CNY723,MAINTENANCE,MACON,20241101,Maintenance,True
CNY724,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,MAURY,CNY724,MAINTENANCE,MAURY,20241101,Maintenance,True
CNY725,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"RUTHERFORD, SUMNER, AND WILSON",CNY725,MAINTENANCE,RUTHERFORD,20241101,Maintenance,True
CNV302,Maintenance,THE SWEEPING AND DRAIN CLEANING ON VARIOUS INTERSTATE AND STATE ROUTES.,"BRADLEY, GRUNDY, HAMILTON, MARION, PUTNAM, SEQUATCHIE, AND WHITE",CNV302,MAINTENANCE,BRADLEY,20211008,Maintenance,True
CNY726,Maintenance,THE MOWING ON VARIOUS STATE ROUTES.,RUTHERFORD AND WILLIAMSON,CNY726,MAINTENANCE,RUTHERFORD,20241101,Maintenance,True
CNV702,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"BEDFORD, MARSHALL, MAURY, AND MOORE",CNV702,MAINTENANCE,BEDFORD,20211105,Maintenance,True
CNV701,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,ANDERSON AND UNION,CNV701,MAINTENANCE,ANDERSON,20211105,Maintenance,True
CNX702,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"BLOUNT, LOUDON, MONROE, AND ROANE",CNX702,MAINTENANCE,BLOUNT,20231103,Maintenance,True
CNY128,Maintenance,THE TUNNEL CLEANING OF THE THOMPSON LANE UNDERPASS ON S.R. 155.,DAVIDSON,CNY128,MAINTENANCE,DAVIDSON,20240510,Maintenance,True
CNX707,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"BRADLEY, HAMILTON, MCMINN, MEIGS, POLK, AND RHEA",CNX707,MAINTENANCE,BRADLEY,20231103,Maintenance,True
CNX703,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"CAMPBELL, CLAIBORNE, MORGAN, AND SCOTT",CNX703,MAINTENANCE,CAMPBELL,20231103,Maintenance,True
CNV296,Maintenance,THE SWEEPING ON VARIOUS INTERSTATE AND STATE ROUTES.,"CARTER, SULLIVAN, UNICOI, AND WASHINGTON",CNV296,MAINTENANCE,CARTER,20211008,Maintenance,True
CNY727,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,WILLIAMSON,CNY727,MAINTENANCE,WILLIAMSON,20241101,Maintenance,True
CNV722,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"DAVIDSON, RUTHERFORD, SUMNER, AND WILSON",CNV722,MAINTENANCE,DAVIDSON,20211105,Maintenance,True
CNV723,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,DAVIDSON AND WILLIAMSON,CNV723,MAINTENANCE,DAVIDSON,20211105,Maintenance,True
CNV724,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"DICKSON, HICKMAN, AND HUMPHREYS",CNV724,MAINTENANCE,DICKSON,20211105,Maintenance,True
CNP725,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,"DYER, GIBSON, LAKE, AND OBION",CNP725,MAINTENANCE,DYER,20151113,Maintenance,True
CNY225,Maintenance,THE DRAIN CLEANING ON VARIOUS INTERSTATE AND STATE ROUTES.,FAYETTE AND SHELBY,CNY225,MAINTENANCE,SHELBY,20241206,Maintenance,True
CNP726,Maintenance,THE SWATH MOWING AND LITTER REMOVAL ON I-40.,"FAYETTE, HAYWOOD, AND MADISON",CNP726,MAINTENANCE,FAYETTE,20151113,Maintenance,True
CNP728,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,GILES AND LAWRENCE,CNP728,MAINTENANCE,GILES,20151113,Maintenance,True
CNP729,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,"GILES, MARSHALL, AND MAURY",CNP729,MAINTENANCE,GILES,20151113,Maintenance,True
CNP730,Maintenance,THE MOWING ON VARIOUS STATE ROUTES.,"GREENE, HAMBLEN, HANCOCK, AND HAWKINS",CNP730,MAINTENANCE,GREENE,20151113,Maintenance,True
CNP731,Maintenance,THE MOWING ON VARIOUS INTERSTATES AND STATE ROUTES.,HAMILTON,CNP731,MAINTENANCE,HAMILTON,20151113,Maintenance,True
CNP724,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"DICKSON, HICKMAN, AND HUMPHREYS",CNP724,MAINTENANCE,DICKSON,20151113,Maintenance,True
CNP732,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"HAMILTON, MEIGS, AND RHEA",CNP732,MAINTENANCE,HAMILTON,20151113,Maintenance,True
CNP733,Maintenance,THE MOWING ON VARIOUS STATE ROUTES.,"HOUSTON, MONTGOMERY, AND STEWART",CNP733,MAINTENANCE,HOUSTON,20151113,Maintenance,True
CNX190,Maintenance,"THE TUNNEL CLEANING OF THE MCCALLIE TUNNEL ON U.S. 11 (U.S. 64, S.R. 2), THE STRINGERS RIDGE TUNNEL ON U.S. 127 (S.R. 8), AND THE BACHMAN TUBES ON U.S. 41 (U.S. 76, S.R. 8).",HAMILTON,CNX190,MAINTENANCE,HAMILTON,20230512,Maintenance,True
CNP734,Maintenance,THE MOWING ON VARIOUS STATE ROUTES.,"LAWRENCE, LEWIS, AND WAYNE",CNP734,MAINTENANCE,LAWRENCE,20151113,Maintenance,True
CNP735,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"LEWIS, PERRY, AND WAYNE",CNP735,MAINTENANCE,LEWIS,20151113,Maintenance,True
CNP708,Maintenance,THE MOWING ON VARIOUS STATE ROUTES.,"BLOUNT, LOUDON, MONROE, AND ROANE",CNP708,MAINTENANCE,BLOUNT,20151113,Maintenance,True
CNP707,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,BLOUNT AND KNOX,CNP707,MAINTENANCE,BLOUNT,20151113,Maintenance,True
CNP736,Maintenance,THE MOWING ON VARIOUS STATE ROUTES.,"MACON, SMITH, AND TROUSDALE",CNP736,MAINTENANCE,MACON,20151113,Maintenance,True
CNP709,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"BRADLEY, MCMINN, AND POLK",CNP709,MAINTENANCE,BRADLEY,20151113,Maintenance,True
CNX174,Maintenance,THE TUNNEL CLEANING OF THE THOMPSON LANE UNDERPASS ON S.R. 155.,DAVIDSON,CNX174,MAINTENANCE,DAVIDSON,20230512,Maintenance,True
CNV151,Maintenance,THE TUNNEL CLEANING OF THE THOMPSON LANE UNDERPASS ON S.R. 155.,DAVIDSON,CNV151,MAINTENANCE,DAVIDSON,20210507,Maintenance,True
CNY208,Maintenance,THE SWEEPING ON VARIOUS AND STATE ROUTES.,"DAVIDSON, MONTGOMERY, SUMNER, AND WILLIAMSON",CNY208,MAINTENANCE,DAVIDSON,20241206,Maintenance,True
CNP714,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,"CHEATHAM, MONTGOMERY, ROBERTSON, AND SUMNER",CNP714,MAINTENANCE,CHEATHAM,20151113,Maintenance,True
CNY309,Maintenance,THE EMERGENCY SINKHOLE REPAIRS AT TWO LOCATIONS ON S.R. 39 AT L.M. 4.2.,MCMINN,CNY309,ROADWAY,MCMINN,20241015,Roadway,False
CNY212,Maintenance,THE SWEEPING ON VARIOUS INTERSTATE AND STATE ROUTES.,"ANDERSON, BLOUNT, CAMPBELL, COCKE, JEFFERSON, KNOX, LOUDON, MONROE, ROANE, AND SEVIER",CNY212,MAINTENANCE,ANDERSON,20241206,Maintenance,True
CNY231,Maintenance,THE DRAIN CLEANING ON VARIOUS INTERSTATE AND STATE ROUTES.,"ANDERSON, BLOUNT, CAMPBELL, COCKE, GRAINGER, JEFFERSON, KNOX, LOUDON, MONROE, ROANE, AND SEVIER",CNY231,MAINTENANCE,ANDERSON,20241206,Maintenance,True
CNP718,Maintenance,THE MOWING ON VARIOUS STATE ROUTES.,"COCKE, HAMBLEN, JEFFERSON, AND SEVIER",CNP718,MAINTENANCE,COCKE,20151113,Maintenance,True
CNP719,Maintenance,THE MOWING ON VARIOUS STATE ROUTES.,COFFEE AND FRANKLIN,CNP719,MAINTENANCE,COFFEE,20151113,Maintenance,True
CNP720,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE ROUTES.,"COFFEE, GRUNDY, HAMILTON, AND MARION",CNP720,MAINTENANCE,COFFEE,20151113,Maintenance,True
CNY222,Maintenance,THE DRAIN CLEANING ON VARIOUS STATE ROUTES.,"DAVIDSON, SUMNER, AND WILLIAMSON",CNY222,MAINTENANCE,DAVIDSON,20241206,Maintenance,True
CNP721,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"CROCKETT, DECATUR, HAYWOOD, HENDERSON, AND MADISON",CNP721,MAINTENANCE,CROCKETT,20151113,Maintenance,True
CNY210,Maintenance,THE SWEEPING ON VARIOUS INTERSTATE AND STATE ROUTES.,"BRADLEY, GRUNDY, HAMILTON, MARION, PUTNAM, SEQUATCHIE, AND WHITE",CNY210,MAINTENANCE,BRADLEY,20241206,Maintenance,True
CNY226,Maintenance,THE DRAIN CLEANING ON VARIOUS INTERSTATE AND STATE ROUTES.,"BRADLEY, GRUNDY, HAMILTON, MARION, PUTNAM, SEQUATCHIE, AND WHITE",CNY226,MAINTENANCE,BRADLEY,20241206,Maintenance,True
CNP711,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"CANNON, VAN BUREN, AND WARREN",CNP711,MAINTENANCE,CANNON,20151113,Maintenance,True
CNY213,Maintenance,THE SWEEPING ON VARIOUS INTERSTATE AND STATE ROUTES.,"CARTER, SULLIVAN, UNICOI, AND WASHINGTON",CNY213,MAINTENANCE,CARTER,20241206,Maintenance,True
CNP710,Maintenance,THE MOWING ON VARIOUS STATE ROUTES.,"CAMPBELL, CLAIBORNE, MORGAN, AND SCOTT",CNP710,MAINTENANCE,CAMPBELL,20151113,Maintenance,True
CNP723,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,DAVIDSON AND WILLIAMSON,CNP723,MAINTENANCE,DAVIDSON,20151113,Maintenance,True
CNX158,Maintenance,THE TUNNEL CLEANING ON THE HENLEY STREET CONNECTOR TUNNEL ON S.R. 1 AND THE SMARTFIX TUNNEL ON S.R. 158 (JAMES WHITE PARKWAY).,KNOX,CNX158,MAINTENANCE,KNOX,20230512,Maintenance,True
CNP712,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,"CARTER, GREENE, HAMBLEN, JEFFERSON, SULLIVAN, UNICOI, AND WASHINGTON",CNP712,MAINTENANCE,CARTER,20151113,Maintenance,True
CNN739,Maintenance,THE MOWING ON VARIOUS STATE ROUTES.,RUTHERFORD AND WILLIAMSON,CNN739,MAINTENANCE,RUTHERFORD,20141114,Maintenance,True
CNP738,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"RUTHERFORD, SUMNER, AND WILSON",CNP738,MAINTENANCE,RUTHERFORD,20151113,Maintenance,True
CNP742,Maintenance,THE MOWING ON VARIOUS STATE ROUTES.,WAYNE,CNP742,MAINTENANCE,WAYNE,20151113,Maintenance,True
CNV738,Maintenance,THE MOWING ON VARIOUS STATE ROUTES.,"MACON, SMITH, AND TROUSDALE",CNV738,MAINTENANCE,MACON,20211105,Maintenance,True
CNV737,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"LEWIS, PERRY, AND WAYNE",CNV737,MAINTENANCE,LEWIS,20211105,Maintenance,True
CNV736,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"LAWRENCE, LEWIS, AND WAYNE",CNV736,MAINTENANCE,LAWRENCE,20211105,Maintenance,True
CNV735,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"HOUSTON, MONTGOMERY, AND STEWART",CNV735,MAINTENANCE,HOUSTON,20211105,Maintenance,True
CNX727,Maintenance,THE SWATH MOWING AND LITTER REMOVAL ON I-40.,"BENTON, CARROLL, DECATUR, HENDERSON, AND MADISON",CNX727,MAINTENANCE,BENTON,20231103,Maintenance,True
CNV734,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,HAMILTON AND RHEA,CNV734,MAINTENANCE,HAMILTON,20211105,Maintenance,True
CNV733,Maintenance,THE MOWING ON VARIOUS INTERSTATE AND STATE ROUTES.,HAMILTON,CNV733,MAINTENANCE,HAMILTON,20211105,Maintenance,True
CNV739,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,MAURY,CNV739,MAINTENANCE,MAURY,20211105,Maintenance,True
CNV732,Maintenance,THE MOWING ON VARIOUS STATE ROUTES.,GRUNDY AND MARION,CNV732,MAINTENANCE,GRUNDY,20211105,Maintenance,True
CNV731,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"GREENE, HAMBLEN, HANCOCK, AND HAWKINS",CNV731,MAINTENANCE,GREENE,20211105,Maintenance,True
CNV730,Maintenance,THE SWATH MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,"GILES, MARSHALL, AND MAURY",CNV730,MAINTENANCE,GILES,20211105,Maintenance,True
CNV729,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,GILES,CNV729,MAINTENANCE,GILES,20211105,Maintenance,True
CNV728,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,"FAYETTE, LAUDERDALE, SHELBY, AND TIPTON",CNV728,MAINTENANCE,FAYETTE,20211105,Maintenance,True
CNV727,Maintenance,THE SWATH MOWING AND LITTER REMOVAL ON I-40.,"FAYETTE, HAYWOOD, AND MADISON",CNV727,MAINTENANCE,FAYETTE,20211105,Maintenance,True
CNV726,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,"DYER, GIBSON, LAKE, AND OBION",CNV726,MAINTENANCE,DYER,20211105,Maintenance,True
CNV725,Maintenance,THE SWATH MOWING AND LITTER REMOVAL ON I-840.,"DICKSON, HICKMAN, RUTHERFORD, AND WILLIAMSON",CNV725,MAINTENANCE,DICKSON,20211105,Maintenance,True
CNY133,Maintenance,"THE TUNNEL CLEANING OF THE MCCALLIE TUNNEL ON U.S. 11 (U.S. 64, S.R. 2), THE STRINGERS RIDGE TUNNEL ON U.S. 127 (S.R. 8), AND THE BACHMAN TUBES ON U.S. 41 (U.S. 76, S.R. 8).",HAMILTON,CNY133,MAINTENANCE,HAMILTON,20240510,Maintenance,True
CNP706,Maintenance,THE MOWING ON VARIOUS STATE ROUTES.,"BLEDSOE, GRUNDY, MARION, SEQUATCHIE, AND VAN BUREN",CNP706,MAINTENANCE,BLEDSOE,20151113,Maintenance,True
CNV740,Maintenance,THE MOWING ON VARIOUS STATE ROUTES.,RUTHERFORD AND WILLIAMSON,CNV740,MAINTENANCE,RUTHERFORD,20211105,Maintenance,True
CNV742,Maintenance,THE MOWING ON VARIOUS STATE ROUTES.,WAYNE,CNV742,MAINTENANCE,WAYNE,20211105,Maintenance,True
CNW915,Maintenance,THE DRAIN CLEANING ON VARIOUS INTERSTATE AND STATE ROUTES.,"DAVIDSON, MONTGOMERY, ROBERTSON, RUTHERFORD, SUMNER, WILLIAMSON, AND WILSON",CNW915,MAINTENANCE,DAVIDSON,20220617,Maintenance,True
CNP740,Maintenance,THE MOWING ON VARIOUS STATE ROUTES.,WILLIAMSON,CNP740,MAINTENANCE,WILLIAMSON,20151113,Maintenance,True
CNW914,Maintenance,THE DRAIN CLEANING ON VARIOUS INTERSTATE AND STATE ROUTES.,SHELBY,CNW914,MAINTENANCE,SHELBY,20220617,Maintenance,True
CNY900,Maintenance,"THE LANDSCAPING ON I-124 (U.S. 27, S.R. 29) FROM THE I-24/I-124 INTERCHANGE (L.M. 1.15) TO SOUTH OF THE TENNESSEE RIVER (OLGIATI) BRIDGE (L.M. 1.95).",HAMILTON,CNY900,ROADWAY,HAMILTON,20240209,Roadway,False
CNP705,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"BENTON, CARROLL, HENRY, OBION, AND WEAKLEY",CNP705,MAINTENANCE,BENTON,20151113,Maintenance,True
CNP325,Maintenance,THE SWEEPING AND DRAIN CLEANING ON VARIOUS INTERSTATE AND STATE ROUTES.,"BRADLEY, GRUNDY, HAMILTON, MARION, PUTNAM, SEQUATCHIE, AND WHITE",CNP325,MAINTENANCE,BRADLEY,20151204,Maintenance,True
CNP323,Maintenance,THE SWEEPING ON VARIOUS INTERSTATE AND STATE ROUTES.,"CARTER, SULLIVAN, UNICOI, AND WASHINGTON",CNP323,MAINTENANCE,CARTER,20151204,Maintenance,True
CNV741,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,SHELBY,CNV741,MAINTENANCE,SHELBY,20211105,Maintenance,True
CNP703,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"BEDFORD, MARSHALL, MAURY, AND MOORE",CNP703,MAINTENANCE,BEDFORD,20151113,Maintenance,True
CNW172,Maintenance,THE TUNNEL CLEANING ON THE HENLEY STREET CONNECTOR TUNNEL ON S.R. 1 AND THE SMARTFIX TUNNEL ON S.R. 158 (JAMES WHITE PARKWAY).,KNOX,CNW172,MAINTENANCE,KNOX,20220513,Maintenance,True
CNP702,Maintenance,THE MOWING ON VARIOUS STATE ROUTES.,"ANDERSON, GRAINGER, AND UNION",CNP702,MAINTENANCE,ANDERSON,20151113,Maintenance,True
CNY112,Maintenance,THE TUNNEL CLEANING ON THE HENLEY STREET CONNECTOR TUNNEL ON S.R. 1 AND THE SMARTFIX TUNNEL ON S.R. 158 (JAMES WHITE PARKWAY).,KNOX,CNY112,MAINTENANCE,KNOX,20240510,Maintenance,True
CNV157,Maintenance,"THE TUNNEL CLEANING OF THE MCCALLIE TUNNEL ON U.S. 11 (U.S. 64, S.R. 2), THE STRINGERS RIDGE TUNNEL ON U.S. 127 (S.R. 8), AND THE BACHMAN TUBES ON U.S. 41 (U.S. 76, S.R. 8).",HAMILTON,CNV157,MAINTENANCE,HAMILTON,20210507,Maintenance,True
CNP701,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,ANDERSON AND CAMPBELL,CNP701,MAINTENANCE,ANDERSON,20151113,Maintenance,True
CNX714,Maintenance,THE MOWING ON VARIOUS STATE ROUTES.,"BEDFORD, LINCOLN, MARSHALL, MAURY, AND MOORE",CNX714,MAINTENANCE,BEDFORD,20231103,Maintenance,True
CNV743,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,WILLIAMSON,CNV743,MAINTENANCE,WILLIAMSON,20211105,Maintenance,True
CNV347,Maintenance,THE FENCE REPAIR AT VARIOUS LOCATIONS ON U.S. 70 (S.R. 1).,HUMPHREYS,CNV347,MAINTENANCE,HUMPHREYS,20211210,Maintenance,True
CNN738,Maintenance,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,"RUTHERFORD, SUMNER, AND WILSON",CNN738,MAINTENANCE,RUTHERFORD,20141114,Maintenance,True
CNY716,Maintenance,THE SWATH MOWING AND LITTER REMOVAL ON I-40.,"FAYETTE, HAYWOOD, AND MADISON",CNY716,MAINTENANCE,FAYETTE,20241101,Maintenance,True
CNZ254,Maintenance,THE SWEEPING ON VARIOUS INTERSTATE AND STATE ROUTES.,"CARTER, SULLIVAN, UNICOI, AND WASHINGTON",CNZ254,MAINTENANCE,CARTER,20251003,Maintenance,True
